,text,label,Translated Text
66,lahat na lang masamain ,possible suicidal post,everything is bad
67,okay guys alam ko na step toxic hahahaha,possible suicidal post,okay guys I know that step is toxic hahahaha
68,now lang ito,possible suicidal post,it's just now
69,sana next week na,possible suicidal post,I hope it's next week
70,Wow di pa din deretso tulog ko,non-suicide,"Wow, I haven't slept straight yet"
71,Buti nalang masaya na talaga ako,non-suicide,Good thing I'm really happy
72,May pilay ata kamay ko,non-suicide,My hand is lame
73,Glow up,non-suicide,Glow up
74,PAIN,non-suicide,PAIN
75,Hindi lahat ha !! yung mga toxic talaga !!,possible suicidal post,Not everyone!! those are really toxic!!
76,gusto ko na mawala to !!,possible suicidal post,I want to lose it!!
77,wag mo sabihan ng ganun mama ko ! sampal ko pa sayo pera mo at tae ng anak mo,possible suicidal post,don't say that my mom! I'll slap you for your money and your child's shit
78,buti na lang may napagkwekwentuhan ako ng probems ko <3,possible suicidal post,"Fortunately, I was able to talk to someone about my problems <3"
79,"nag alarm ako para sana magaral , di mag selpon",possible suicidal post,"I set the alarm so I could preach, not use my cell phone"
80,Patulog na ako eh may bumangga sa tapat ng bahay,non-suicide,I was about to sleep when someone crashed in front of the house
81,Tangina bat parang kasalanan ko pa,non-suicide,At least it's still my fault
82,Badtrip,non-suicide,Bad trip
83,Ikot ako ng ikot nakuha ko na pala lahat,non-suicide,I went round and round and I got it all
84,Tamang antay nalang sa susunod na story,non-suicide,Just wait for the next story
85,kakapikon,possible suicidal post,squinting
86,di ko alam bat naiinis ako sayo,possible suicidal post,I don't know if I'm annoyed with you
87,grabe pa rin talaga impact ng small circle of friends,possible suicidal post,the impact of the small circle of friends is still really bad
88,nakakaduda pa din,possible suicidal post,still doubtful
89,dili na lang magtalk sa ugali nilam,possible suicidal post,don't just talk about their behavior
90,Bawasan ko pa kaya yung 600 friends ko?,non-suicide,Can I reduce my 600 friends?
91,"No, Im not crying, you are.",non-suicide,"No, Im not crying, you are."
92,"Mahirap subukan, hindi malakas loob na subukan kausapin",non-suicide,"It's hard to try, not brave enough to try to talk"
93,"I am interested on you, but I dont know how to start a conversation.",non-suicide,"I am interested on you, but I dont know how to start a conversation."
94,Isasarili ko nalang,non-suicide,I'll keep it to myself
95,beh ang bobo mo talaga literal,possible suicidal post,well you are literally stupid
96,sasabog na ata ulo ko,possible suicidal post,my head is going to explode
97,panay ka paawa sa fb,possible suicidal post,you are always welcome on fb
98,apply mo rin sana sa sarili mo,possible suicidal post,You should also apply it to yourself
99,tinawanan lang ako ng parents ko nung sinabi kong benta ko na lupa ko,possible suicidal post,My parents just laughed at me when I said I was selling my land
100,Bakit mas maganda kausap ang babae kapag may problema ka?,non-suicide,Why is it better to talk to women when you have a problem?
101,Feelings successfully forgotten.,non-suicide,Feelings successfully forgotten.
102,Sinabi ko lang nag mag aaral na talaga ako next school year nagtingin agad ng gaming laptop amp ,non-suicide,I just said that I'm really going to study next school year and immediately looked for a gaming laptop amp
103,Ngayon iniisip ko na kung bakit ako bumili ng kazoo,non-suicide,Now I wonder why I bought a kazoo
104,Basta marinig na yung overtaken sa one piece goosebumps agad,non-suicide,Just hearing that overtaken in one piece immediately gives goosebumps
105,"pre period, post period, period period sadness <<<<",possible suicidal post,"pre period, post period, period period sadness <<<<"
106,pinaglaruan ni mareng taylor,possible suicidal post,mareng taylor exclaimed
107,nahawa na sa kaartehan ko sa buhay,possible suicidal post,I've been infected with my arrogance in life
108,hindi naman tao si blossom pero lagi ko siyang kaaway,possible suicidal post,blossom is not human but she is always my enemy
109,nakakadrain kayo,possible suicidal post,you are draining
110,pagod na ako beh,possible suicidal post,I'm tired
111,Not motivated to draw,non-suicide,Not motivated to draw
112,Sure ako di pa din kuntento community sa rewards,non-suicide,I'm sure the community is still not satisfied with the rewards
113,Sabi na tama ako na glider ang gift eh,non-suicide,He said I was right that the gift was a glider
114,Sobrang toxic na ng genshin community,non-suicide,The genshin community is so toxic
115,Pag naririnig ko yung opening 1 ng kobayashis dragon maid gusto ko umikot ikot din,non-suicide,"When I hear the opening 1 of Kobayashi's dragon maid, I want to turn around"
116,"naiinis, naiiyak, nababadtrip, naiirita, napipikon",possible suicidal post,"annoyed, crying, tripping, irritated, cringing"
117,really need a hug,possible suicidal post,really need a hug
118,but what abt me,possible suicidal post,but what abt me
119,ayaw niyo po ba talagang magdagat? hindi ba kayo naaawa sa akin???,possible suicidal post,don't you really want to go fishing? don't you feel sorry for me???
120,COMING FROM U HA HAHAHAHHAHAHAHAHAHA FUNNY,possible suicidal post,COMING FROM U HA HAHAHAHHAHAHAHAHAHA FUNNY
121,Sumakit ulo ko sa pinagawa ni yae miko,non-suicide,I got a headache from what yae miko did
122,Ang sakit talaga sa puso panoodin to your eternity,non-suicide,It's really heartbreaking to watch to your eternity
123,Got scared when shizu said shell eat me,non-suicide,Got scared when shizu said shell eat me
124,Kailangan ko na maghanap ulit ng babasahin,non-suicide,I need to find something to read again
125,Tawang tawa ako kay fafnir animal,non-suicide,I laughed at fafnir animal
126,NAIIYAK PLS LANG,possible suicidal post,JUST CRYING PLS
127,hanapin niyo po pake ko,possible suicidal post,look for me please
128,and if my wishes came true,possible suicidal post,and if my wishes came true
129,it wouldve been u,possible suicidal post,it wouldve been u
130,sweet nothing,possible suicidal post,sweet nothing
131,Tsuki ga kirei = 10/10,non-suicide,The moon is gone = 10/10
132,Tagal magupdate solo leveling,non-suicide,Time to update solo leveling
133,Naghahanap lang ako ng pangupgrade ko ng sakura tree pagtingin ko 100% ko na pala yung isang ,non-suicide,I'm just looking for an upgrade for my sakura tree. I looked and it turns out that I have 100% that one
134,Taena napanaginipan ko na bumiyahe ako magisa amp,non-suicide,Taena I dreamed that I traveled alone amp
135,Di na pwede magmyday ng 20secs pataas?,non-suicide,Can't do myday for 20secs or more?
136,Nandoon kana pero iba pa din hinanap ??,possible suicidal post,It's there but did you search for something else??
137,Imy??,possible suicidal post,Immy??
138,lowkey hurt but oh well that’s life.,possible suicidal post,lowkey hurt but oh well that’s life.
139,Pwedeba day off?,possible suicidal post,Pwedeba day off?
140,Nag stress eating nanaman ako ??,possible suicidal post,Am I stress eating??
141,Muntik na ako nag goodbye genshin amp,non-suicide,I almost said goodbye genshin amp
142,Bakit paramg normal lang sa akin manood ng english dub kapag ghibli movie pinapanood ko,non-suicide,Why does it seem normal to me to watch an English dub when I watch a ghibli movie?
143,Nakakasakit ng puso ng mahirap yung part na yon HAHAHAHA,non-suicide,That part hurts the heart of the poor HAHAHAHA
144,Sakit ng leeg,non-suicide,Neck pain
145,Di na makakalaro sa pc,non-suicide,Can't play on pc anymore
146,"dalawang araw na akong walang kwenta, okay ayusin na ang bohai.",possible suicidal post,"I've been useless for two days, okay fix the bohai."
147,"yes po, walang matutulog mamaya. HAHAHAHA",possible suicidal post,"yes, no one will sleep later. HAHAHAHA"
148,??????,possible suicidal post,
149,lagi nalang.,possible suicidal post,always.
150,all over you,possible suicidal post,all over you
151,Thats toxic,non-suicide,Thats toxic
152,Pinakamagandang compliment na sinabi sa akin,non-suicide,Best compliment ever said to me
153,Bagay daw sa akin gumamit ng kazuha,non-suicide,It's fine for me to use kazuha
154,Hindi talaga ako nasasatisfy sa gacha game kapag hindi ko inuubos yung pang roll ko,non-suicide,I'm not really satisfied with the gacha game if I don't use up my roll
155,Satisfied,non-suicide,Satisfied
156,BEH KAYA BA??,possible suicidal post,CAN YOU DO IT??
157,sukong suko na ako,possible suicidal post,I give up
158,fck this life,possible suicidal post,fck this life
159,batrip na ako sa sarili ko,possible suicidal post,I'm mad at myself
160,tama na po ayoko na,possible suicidal post,"that's right, I don't want it anymore"
161,Di padin ako makapaniwala nanalo ako sa 50-50 pity,non-suicide,I still can't believe I won 50-50 pity
162,Sword Art Impact,non-suicide,Sword Art Impact
163,Bro why gugu have to die?,non-suicide,Bro why gugu have to die?
164,Nagsisitapos na mga pinapanood kong anime,non-suicide,My animes are ending
165,Addicted to Eula ost,non-suicide,Addicted to Eula ost
166,Kakayanin ko ??,possible suicidal post,I can do it ??
167,What are the voices telling you ? Hahahaha,possible suicidal post,What are the voices telling you ? Hahahaha
168,I hate how I’m feeling rn.,possible suicidal post,I hate how I’m feeling rn.
169,Medyo pagod na yung utak ko ??,possible suicidal post,My brain is a bit tired??
170,Lorddd pahingi ng willll ??,possible suicidal post,Lorddd please willll ??
171,Nakakapangsisi manood ng shield hero nababadtrip ako,non-suicide,It's regrettable watching shield hero makes me trip
172,"I ised to like her, but now I only respect her as my friend",non-suicide,"I ised to like her, but now I only respect her as my friend"
173,Eunectes y u so thicc?,non-suicide,Eunectes y u so thicc?
174,Bubu ng osamake animal naiyak ako HAHAHAHAHA,non-suicide,Bubu osamake animal made me cry HAHAHAHAHA
175,Putaena HAHAHAHAHA inubos ko na ata swerte ko sa mga gacha game ngayon,non-suicide,Putaena HAHAHAHAHA I've run out of luck with gacha games today
176,ayaw ko na sa earth,possible suicidal post,I don't want to be on earth anymore
177,pwede bang tumigil sa paghinga,possible suicidal post,can you stop breathing
178,sa akin lagi ang sisi magbigti na lang,possible suicidal post,"It's always my fault, just hang yourself"
179,lagi na lang ako ayaw ko na,possible suicidal post,I just don't want to anymore
180,dapat hindi na lang ako pinanganak,possible suicidal post,I should not have been born
181,Its going to break,non-suicide,Its going to break
182,Cheese omelette,non-suicide,Cheese omelette
183,Ewan ko ba kung nasa mood pa ako maglaro ng valorant,non-suicide,I don't know if I'm still in the mood to play valorant
184,Falling in love with the moon again,non-suicide,Falling in love with the moon again
185,I love living my life like this,non-suicide,I love living my life like this
186,send help hindi ko na kaya,possible suicidal post,send help i can't do it anymore
187,I'm not strong enough to live,possible suicidal post,I'm not strong enough to live
188,wag kang magmamahal kung ayaw mo mamatay ng maaga,possible suicidal post,don't love if you don't want to die early
189,im broken,possible suicidal post,im broken
190,sorry ayoko na talaga,possible suicidal post,sorry i really don't want to
191,Parang gusto ko pa ng ice cream,non-suicide,I feel like I want more ice cream
192,Tanginang chismoso instincts yan,non-suicide,That's just chismoso instincts
193,Seryosong usapan ipapasok ko yung lasa ng kinakain ko HAHAHAHAHA,non-suicide,"Seriously, I will introduce the taste of what I eat HAHAHAHAHA"
194,Panget ng lasa animal,non-suicide,Ugly animal taste
195,"Kala ko dati pa panget lasa ng mustard, ngayon natrauma na talaga ako sa lasa",non-suicide,"I used to hate the taste of mustard, now I'm really traumatized by the taste"
196,puro na lang pang gagag* suko na ako,possible suicidal post,I'm just going to give up
197,hindi na ako magseseryoso gusto ko ng mawala,possible suicidal post,"I won't be serious anymore, I want to lose"
198,gusto kung malunod,possible suicidal post,want to drown
199,dapat hindi na lang ako nagising,possible suicidal post,I should not have woken up
200,practice mamatay,possible suicidal post,practice die
201,Big nice,non-suicide,Big nice
202,Ganda ng boses ni astel HAHAHAHAHA,non-suicide,Astel's voice is beautiful HAHAHAHAHA
203,Sagad rewatch rick and morty nalimutan ko manood ng anime,non-suicide,Sagad rewatch rick and morty I forgot to watch the anime
204,Taena wala kong goal sa arknights ngayon amp,non-suicide,Taena I don't have a goal in arknights today amp
205,Leakers got outleaked by mihoyo,non-suicide,Leakers got outleaked by mihoyo
206,gabi gabi na lang akong umiiyak,possible suicidal post,I just cry at night
207,maglaslas na lang,possible suicidal post,just slash
208,magpakalasing para matapos na ang buhay,possible suicidal post,get drunk to end life
209,ayoko na sa inyo hindi nyo na ako mahal,possible suicidal post,"I don't want you anymore, you don't love me anymore"
210,puyat lang ng puyat hahaha,possible suicidal post,just stay up late hahaha
211,Ang kulit talaga ng tawa ni pikamee,non-suicide,Pikamee's laugh is really ugly
212,Gusto ko bilhin kaso tinatamad ako lumabas maglagay ng pera sa gcash,non-suicide,I want to buy because I'm too lazy to go out and put money in gcash
213,Gusto ko bilhin muse dash,non-suicide,I want to buy muse dash
214,Taenang timing ng brownout yan,non-suicide,That's brownout timing
215,Inubos buong energy sa osu,non-suicide,Spent all energy in osu
216,100% regret,possible suicidal post,100% regret
217,ang sakit sakit na,possible suicidal post,it hurts
218,sarap hindi huminga,possible suicidal post,it's good not to breathe
219,suko na ako sakit na,possible suicidal post,I'm sick of giving up
220,lf ka suntukan,possible suicidal post,lf you fight
221,Wow natapos ko pekomiko daisenso sa osu after magpahinga ng ilang araw,non-suicide,"Wow, I finished pekomiko daisenso in OSU after resting for a few days"
222,Hindi nalang sana ako natulog ng sobra kahapon,non-suicide,I wish I hadn't slept too much yesterday
223,Addicted to genshin impact,non-suicide,Addicted to genshin impact
224,Dalawang oras ako nag ayos amp,non-suicide,I spent two hours fixing the amp
225,Old songs + midnight = ??,non-suicide,Old songs + midnight = ??
226,Ang lungkot tuloy ng ferson??,possible suicidal post,Ferson is so sad??
227,ibabangga ko to sasakyan para isang sakitan na lang,possible suicidal post,I will crash the car just to hurt you
228,everyone not love me huhu,possible suicidal post,everyone not love me huhu
229,abusive thoughts,possible suicidal post,abusive thoughts
230,sobrang lungkot,possible suicidal post,really sad
231,Hapdi aking mata baka namumula na,non-suicide,My eyes may be red
232,Envy baby,non-suicide,Envy baby
233,"Love me, love me not.",non-suicide,"Love me, love me not."
234,HAHAHAHAHAHA nangiistorbo para lang ikwento na nalulupitan sa albolaryo,non-suicide,HAHAHAHAHAHA disturbing just to tell the story of being oppressed in the albolary
235,Hindi talaga nakakasawa makinig ng podcast,non-suicide,Listening to a podcast is never boring
236,Mas maaga gising ko sa usual na gosing ko ah,possible suicidal post,I wake up earlier than my usual bedtime
237,"Talking to someone is exhausting, I like it",possible suicidal post,"Talking to someone is exhausting, I like it"
238,Umagang umaga na di pa din ako inaantok,possible suicidal post,It's morning when I'm still not sleepy
239,Gusto ko sumaya,possible suicidal post,I want to have fun
240,Sakit ng ulo ko parang ayaw ko na lumabas ng bahay hahahha,possible suicidal post,My head hurts like I don't want to leave the house hahaha
241,Nakakaenjoy talaga makinig ng podcast,non-suicide,I really enjoy listening to podcasts
242,Taena ang init,non-suicide,The heat is hot
243,Neck hurts,non-suicide,Neck hurts
244,It seems that I cant forget you,non-suicide,It seems that I cant forget you
245,Putaena nagextend yung world hahahahaha panibagong ayos nanaman,non-suicide,Putaena the world has extended hahahahaha it's fine again
246,Soon enough No more sana all ????,possible suicidal post,Soon enough No more sana all ????
247,Ang toxic ??,possible suicidal post,Ang toxic ??
248,Tila’y rosas na pula ??Meaning of life?,possible suicidal post,It seems to be a red rose ??Meaning of life?
249,Siguro pwede na ma deads,possible suicidal post,Maybe it can be dead
250,Happy new year everyone! ??,possible suicidal post,Happy new year everyone! ??
251,Di ako makapaniwala nakapag clutch ako ng 1v4 kanina ako ba talaga yon?,non-suicide,"I can't believe I was able to clutch 1v4 earlier, is that really me?"
252,Nasanay nasanay sorry,non-suicide,Got used to sorry
253,good morning HAHSHAHQHA <333,non-suicide,good morning HAHSHAHQHA <333
254,yung chorus ng Down Bad ?? saying f has never been this satisfying HAHAHAHA ??,non-suicide,the chorus of Down Bad ?? saying f has never been this satisfying HAHAHAHA ??
255,kapround naman PRMSU ??,non-suicide,what about PRMSU??
256,"Mom, please lift me up ??",possible suicidal post,"Mom, please lift me up ??"
257,iintindihin nanaman mag-isa ??,possible suicidal post,will you understand on your own??
258,ansama kong nilalaaaang,possible suicidal post,I love it
259,yo. pain.,possible suicidal post,yo. pain.
260,ang sakit pa rin.,possible suicidal post,the pain is still there.
261,"congratulations, self. proud ako sayo! <3",non-suicide,"congratulations, self. I'm proud of you! <3"
262,kapag naswertehan naman talaga oo!,non-suicide,when really lucky yes!
263,June pa daw uulan ??,non-suicide,It's still raining in June??
264,How to raise a naughty & stubborn kid.,non-suicide,How to raise a naughty & stubborn kid.
265,stuck talaga me the first time i heard of it. THE VIBES,non-suicide,stuck talaga me the first time i heard of it. THE VIBES
266,fvck it if i cant have us,possible suicidal post,fvck it if i cant have us
267,fvck it if i cant have him,possible suicidal post,fvck it if i cant have him
268,He’s so tired ????,possible suicidal post,He’s so tired ????
269,MAAAAAAAA! ?? hahahahahhahahq,possible suicidal post,MAAAAAAA! ?? hahahahahahahq
270,"i h8 the feeling when u explain to someone what they did to u that made u feel upset ended u up regretting telling them bcoz instead of apologizing, they find a way to make you feel bad about it lol u get me? :<",possible suicidal post,"i h8 the feeling when u explain to someone what they did to u that made u feel upset ended u up regretting telling them bcoz instead of apologizing, they find a way to make you feel bad about it lol u get me? :<"
271,kaya ba kasi 1k words each tour ??,non-suicide,can it be 1k words each tour??
272,perfect ang quiz 2 ni acclaaaaa! ????,non-suicide,acclaaaaa's quiz 2 is perfect! ????
273,nakalimutan ko na paano gumawa ng narrative reportttttt! ??,non-suicide,I forgot how to make a narrative reportttttt! ??
274,sobrang iyakin ko na dahil sa Cant Buy me Love ??,non-suicide,I cried so much because of Cant Buy me Love??
275,yay perfect!,non-suicide,yay perfect!
276,"i’m strong, but i cry too.",possible suicidal post,"i’m strong, but i cry too."
277,have you felt so lonely that you started crying? ,possible suicidal post,have you felt so lonely that you started crying?
278,My expectations hurt me.,possible suicidal post,My expectations hurt me.
279,have you felt so lonely that you started crying?,possible suicidal post,have you felt so lonely that you started crying?
280,Meaning of life?,possible suicidal post,Meaning of life?
281,mermek naman pala haha ??????,non-suicide,it's funny haha ​​??????
282,"kahit bigyan nyo pa ako ng isang milyon, akin na",non-suicide,"even if you give me a million, it's mine"
283,"ggraduate na ako, mukha pa rin akong highschool student ??",non-suicide,"I have graduated, I still look like a high school student??"
284,Studying,non-suicide,Studying
285,bitter naman si baccla.,non-suicide,bitter naman si baccla.
286,"You tossed it in the trash, you did",possible suicidal post,"You tossed it in the trash, you did"
287,Ang sakit sobra ng likod koooo,possible suicidal post,My back hurts too much
288,Pahinga.,possible suicidal post,Rest.
289,Please dont be in love with someone else ??,possible suicidal post,Please dont be in love with someone else ??
290,"Thank you po sa mga students ni mama, kaunti na lang mag kaka-tonsillitis na kami. Charr",possible suicidal post,"Thank you to mom's students, we just got tonsillitis. Char"
291,kaproud naman ni Sir Cuevas ??,non-suicide,is Sir Cuevas proud ??
292,nagustuhan nila inuwi kong cat food mwehe <33,non-suicide,they liked the cat food I brought home <33
293,almonds+dark chocolate>>>>>,non-suicide,almonds+dark chocolate>>>>>
294,her first day on the job ????,non-suicide,her first day on the job ????
295,hay miss q na agad mashaaa,non-suicide,hey miss q I'll be fine soon
296,holy shit,possible suicidal post,holy shit
297,sobrang hirap,possible suicidal post,very difficult
298,"bobo magbudget ,bobo sa time management, bobo sa house chores :((",possible suicidal post,"stupid to budget, stupid for time management, stupid for house chores :(("
299,so anxious about lots of stuff lately,possible suicidal post,so anxious about lots of stuff lately
300,hirap mabuhay idol??,possible suicidal post,hard to live idol??
301,gurllllll what if? HAHQHQHAHAHA,non-suicide,gurllllll what if? HAHQHQHAHAHA
302,di ko alam kung matutuwa ako sa panaginip na yon o ano ??,non-suicide,I don't know if I will be happy in that dream or what??
303,my type of weather ???,non-suicide,my type of weather ???
304,kabagalan naman ng bus na to.,non-suicide,the bus is slow.
305,kaya ba iclutch tong song writing?,non-suicide,can iclutch song writing?
306,Nastress na ako sa buhay ko,possible suicidal post,I'm already stressed in my life
307,Ngayon ko nararamdaman yung pagod nung mo day at tuesday ang sakit ng buong katawan ko haha,possible suicidal post,Now I feel the tiredness of your day and the pain of my whole body on Tuesday haha
308,Gave you all I had and you tossed it in the trash,possible suicidal post,Gave you all I had and you tossed it in the trash
309,"You tossed it in the trash, you did",possible suicidal post,"You tossed it in the trash, you did"
310,Pagod na ako ??,possible suicidal post,I am tired ??
311,kqya pala maanghang ??,non-suicide,why is it spicy??
312,yoko na ng red days yawa,non-suicide,"no more red days, devil"
313,pati ba naman sa panaginip ??,non-suicide,is it also in the dream??
314,after 2 weeks makakauwi na ako sa mga pusa q :>,non-suicide,after 2 weeks I can go home to the cats q :>
315,nap time..??,non-suicide,nap time..??
316,You expect me to open up but you used my problem as a joke,possible suicidal post,You expect me to open up but you used my problem as a joke
317,2-3 hrs nalang ata kaya ko gawin na tulog,possible suicidal post,I can only sleep for 2-3 hrs
318,Sleep deprived pt.2,possible suicidal post,Sleep deprived pt.2
319,Kailangan ko makalimutan lahat ng ito,possible suicidal post,I need to forget all this
320,I want to shut up and die.,possible suicidal post,I want to shut up and die.
321,what if 30 items lang solving tapos puro elements na?,non-suicide,what if solving only 30 items and then it's all elements?
322,ginagawa ko na ang lahat para makaless sa trays ??,non-suicide,I'm doing everything to get rid of the trays??
323,more vouchers sa shoppee HAHAHAHA,non-suicide,more vouchers at shoppee HAHAHAHA
324,naiinis talaga ako pag may nawawala akong gamitttt kahit halagang bente pesos pa yan hahahahaha,non-suicide,"I get really annoyed when I lose something, even if it costs twenty pesos hahahahaha"
325,magreview na baccla,non-suicide,review that baccala
326,Magbreakdown nanaman ba ako,possible suicidal post,Am I going to have a breakdown?
327,Sobrang nipis na ng buhok ko ??,possible suicidal post,My hair is too thin??
328,Wala akong matawag guys ??,possible suicidal post,I can't call you guys??
329,Si lang nag reply sa lahat ng chinat ko ??,possible suicidal post,He's the only one who replied to all my posts??
330,Kanino ako mag sasabi ng SOS?,possible suicidal post,Who do I say SOS to?
331,dami naman aaralin shems,non-suicide,there's a lot to learn shems
332,yung aso:((,non-suicide,the dog :((
333,matutulog ako,non-suicide,i will sleep
334,ang cravings ko po ay long term memory,non-suicide,My cravings are long term memory
335,uwi na tayo doccc,non-suicide,let's go home doccc
336,Should I hang myself leaving the 25k primogems behind?,possible suicidal post,Should I hang myself leaving the 25k primogems behind?
337,I'm so depress right now fr,possible suicidal post,I'm so depress right now fr
338,pass na ako ayoko na,possible suicidal post,"I'm done, I don't want it anymore"
339,bat pa ako yung sinaktan,possible suicidal post,I'm still the one who got hurt
340,sobrang sakit na talaga ayoko na,possible suicidal post,it hurts so much I don't want to anymore
341,ay may acc pala ??,non-suicide,does it have an acc??
342,bat ba kasi pati pagsabog at bomba mga sinasagutan hahaha,non-suicide,why is it that explosions and bombs are also answered hahaha?
343,????gutom nanaman,non-suicide,????I'm still hungry
344,happy na si baccla ??,non-suicide,happy na si baccala ??
345,sakit na ng likod ko ??,non-suicide,my back hurts??
346,Bad communication really ends a lot of good things.,possible suicidal post,Bad communication really ends a lot of good things.
347,it is what it is shit happens and that's okay BUT WHAT THE FUCK,possible suicidal post,it is what it is shit happens and that's okay BUT WHAT THE FUCK
348,ighting my inner demons ,possible suicidal post,ighting my inner demons
349,bakit ganiyan ka Rj,possible suicidal post,why are you like that Rj
350,kaya ko naman bbyahe nang mag-isa *umiyak*,possible suicidal post,I can travel alone *cry*
351,Naiwan ko sa bahay plates ?? galing talaga ni baccla.,non-suicide,I left plates at home?? baccala is really good.
352,the plans for today:,non-suicide,the plans for today:
353,I never say no to fries.,non-suicide,I never say no to fries.
354,"shet, sunod sunod ang gastossss!",non-suicide,"shet, the costs are one after the other!"
355,shookt si baccla,non-suicide,baccala shook
356,sobrang sakit na talaga ayoko na,possible suicidal post,it hurts so much I don't want to anymore
357,sukong suko na ako,possible suicidal post,I give up
358,fck this life,possible suicidal post,fck this life
359,batrip na ako sa sarili ko,possible suicidal post,I'm mad at myself
360,tama na po ayoko na,possible suicidal post,"that's right, I don't want it anymore"
361,lutang nanaman aq,non-suicide,float naman aq
