"text","label"
"nag alarm ako para sana magaral , di mag selpon","possible suicidal post"
"Patulog na ako eh may bumangga sa tapat ng bahay","non-suicide"
"Tangina bat parang kasalanan ko pa","non-suicide"
"Badtrip","non-suicide"
"Ikot ako ng ikot nakuha ko na pala lahat","non-suicide"
"Tamang antay nalang sa susunod na story","non-suicide"
"kakapikon","possible suicidal post"
"di ko alam bat naiinis ako sayo","possible suicidal post"
"grabe pa rin talaga impact ng small circle of friends","possible suicidal post"
"nakakaduda pa din","possible suicidal post"
"dili na lang magtalk sa ugali nilam","possible suicidal post"
"Bawasan ko pa kaya yung 600 friends ko?","non-suicide"
"No, Im not crying, you are.","non-suicide"
"Mahirap subukan, hindi malakas loob na subukan kausapin","non-suicide"
"I am interested on you, but I dont know how to start a conversation.","non-suicide"
"Isasarili ko nalang","non-suicide"
"beh ang bobo mo talaga literal","possible suicidal post"
"sasabog na ata ulo ko","possible suicidal post"
"panay ka paawa sa fb","possible suicidal post"
"apply mo rin sana sa sarili mo","possible suicidal post"
"tinawanan lang ako ng parents ko nung sinabi kong benta ko na lupa ko","possible suicidal post"
"Bakit mas maganda kausap ang babae kapag may problema ka?","non-suicide"
"Feelings successfully forgotten.","non-suicide"
"Sinabi ko lang nag mag aaral na talaga ako next school year nagtingin agad ng gaming laptop amp ","non-suicide"
"Ngayon iniisip ko na kung bakit ako bumili ng kazoo","non-suicide"
"Basta marinig na yung overtaken sa one piece goosebumps agad","non-suicide"
"pre period, post period, period period sadness <<<<","possible suicidal post"
"pinaglaruan ni mareng taylor","possible suicidal post"
"nahawa na sa kaartehan ko sa buhay","possible suicidal post"
"hindi naman tao si blossom pero lagi ko siyang kaaway","possible suicidal post"
"nakakadrain kayo","possible suicidal post"
"pagod na ako beh","possible suicidal post"
"Not motivated to draw","non-suicide"
"Sure ako di pa din kuntento community sa rewards","non-suicide"
"Sabi na tama ako na glider ang gift eh","non-suicide"
"Sobrang toxic na ng genshin community","non-suicide"
"Pag naririnig ko yung opening 1 ng kobayashis dragon maid gusto ko umikot ikot din","non-suicide"
"naiinis, naiiyak, nababadtrip, naiirita, napipikon","possible suicidal post"
"really need a hug","possible suicidal post"
"but what abt me","possible suicidal post"
"ayaw niyo po ba talagang magdagat? hindi ba kayo naaawa sa akin???","possible suicidal post"
"COMING FROM U HA HAHAHAHHAHAHAHAHAHA FUNNY","possible suicidal post"
"Sumakit ulo ko sa pinagawa ni yae miko","non-suicide"
"Ang sakit talaga sa puso panoodin to your eternity","non-suicide"
"Got scared when shizu said shell eat me","non-suicide"
"Kailangan ko na maghanap ulit ng babasahin","non-suicide"
"Tawang tawa ako kay fafnir animal","non-suicide"
"NAIIYAK PLS LANG","possible suicidal post"
"hanapin niyo po pake ko","possible suicidal post"
"and if my wishes came true","possible suicidal post"
"it wouldve been u","possible suicidal post"
"sweet nothing","possible suicidal post"
"Tsuki ga kirei = 10/10","non-suicide"
"Tagal magupdate solo leveling","non-suicide"
"Naghahanap lang ako ng pangupgrade ko ng sakura tree pagtingin ko 100% ko na pala yung isang ","non-suicide"
"Taena napanaginipan ko na bumiyahe ako magisa amp","non-suicide"
"Di na pwede magmyday ng 20secs pataas?","non-suicide"
"Nandoon kana pero iba pa din hinanap ??","possible suicidal post"
"Imy??","possible suicidal post"
"lowkey hurt but oh well that’s life.","possible suicidal post"
"Pwedeba day off?","possible suicidal post"
"Nag stress eating nanaman ako ??","possible suicidal post"
"Muntik na ako nag goodbye genshin amp","non-suicide"
"Bakit paramg normal lang sa akin manood ng english dub kapag ghibli movie pinapanood ko","non-suicide"
"Nakakasakit ng puso ng mahirap yung part na yon HAHAHAHA","non-suicide"
"Sakit ng leeg","non-suicide"
"Di na makakalaro sa pc","non-suicide"
"dalawang araw na akong walang kwenta, okay ayusin na ang bohai.","possible suicidal post"
"yes po, walang matutulog mamaya. HAHAHAHA","possible suicidal post"
"??????","possible suicidal post"
"lagi nalang.","possible suicidal post"
"all over you","possible suicidal post"
"Thats toxic","non-suicide"
"Pinakamagandang compliment na sinabi sa akin","non-suicide"
"Bagay daw sa akin gumamit ng kazuha","non-suicide"
"Hindi talaga ako nasasatisfy sa gacha game kapag hindi ko inuubos yung pang roll ko","non-suicide"
"Satisfied","non-suicide"
"BEH KAYA BA??","possible suicidal post"
"sukong suko na ako","possible suicidal post"
"fck this life","possible suicidal post"
"batrip na ako sa sarili ko","possible suicidal post"
"tama na po ayoko na","possible suicidal post"
"Di padin ako makapaniwala nanalo ako sa 50-50 pity","non-suicide"
"Sword Art Impact","non-suicide"
"Bro why gugu have to die?","non-suicide"
"Nagsisitapos na mga pinapanood kong anime","non-suicide"
"Addicted to Eula ost","non-suicide"
"Kakayanin ko ??","possible suicidal post"
"What are the voices telling you ? Hahahaha","possible suicidal post"
"I hate how I’m feeling rn.","possible suicidal post"
"Medyo pagod na yung utak ko ??","possible suicidal post"
"Lorddd pahingi ng willll ??","possible suicidal post"
"Nakakapangsisi manood ng shield hero nababadtrip ako","non-suicide"
"I ised to like her, but now I only respect her as my friend","non-suicide"
"Eunectes y u so thicc?","non-suicide"
"Bubu ng osamake animal naiyak ako HAHAHAHAHA","non-suicide"
"Putaena HAHAHAHAHA inubos ko na ata swerte ko sa mga gacha game ngayon","non-suicide"
"ayaw ko na sa earth","possible suicidal post"
"pwede bang tumigil sa paghinga","possible suicidal post"
"sa akin lagi ang sisi magbigti na lang","possible suicidal post"
"lagi na lang ako ayaw ko na","possible suicidal post"
"dapat hindi na lang ako pinanganak","possible suicidal post"
"Its going to break","non-suicide"
"Cheese omelette","non-suicide"
"Ewan ko ba kung nasa mood pa ako maglaro ng valorant","non-suicide"
"Falling in love with the moon again","non-suicide"
"I love living my life like this","non-suicide"
"send help hindi ko na kaya","possible suicidal post"
"I'm not strong enough to live","possible suicidal post"
"wag kang magmamahal kung ayaw mo mamatay ng maaga","possible suicidal post"
"im broken","possible suicidal post"
"sorry ayoko na talaga","possible suicidal post"
"Parang gusto ko pa ng ice cream","non-suicide"
"Tanginang chismoso instincts yan","non-suicide"
"Seryosong usapan ipapasok ko yung lasa ng kinakain ko HAHAHAHAHA","non-suicide"
"Panget ng lasa animal","non-suicide"
"Kala ko dati pa panget lasa ng mustard, ngayon natrauma na talaga ako sa lasa","non-suicide"
"puro na lang pang gagag* suko na ako","possible suicidal post"
"hindi na ako magseseryoso gusto ko ng mawala","possible suicidal post"
"gusto kung malunod","possible suicidal post"
"dapat hindi na lang ako nagising","possible suicidal post"
"practice mamatay","possible suicidal post"
"Big nice","non-suicide"
"Ganda ng boses ni astel HAHAHAHAHA","non-suicide"
"Sagad rewatch rick and morty nalimutan ko manood ng anime","non-suicide"
"Taena wala kong goal sa arknights ngayon amp","non-suicide"
"Leakers got outleaked by mihoyo","non-suicide"
"gabi gabi na lang akong umiiyak","possible suicidal post"
"maglaslas na lang","possible suicidal post"
"magpakalasing para matapos na ang buhay","possible suicidal post"
"ayoko na sa inyo hindi nyo na ako mahal","possible suicidal post"
"puyat lang ng puyat hahaha","possible suicidal post"
"Ang kulit talaga ng tawa ni pikamee","non-suicide"
"Gusto ko bilhin kaso tinatamad ako lumabas maglagay ng pera sa gcash","non-suicide"
"Gusto ko bilhin muse dash","non-suicide"
"Taenang timing ng brownout yan","non-suicide"
"Inubos buong energy sa osu","non-suicide"
"100% regret","possible suicidal post"
"ang sakit sakit na","possible suicidal post"
"sarap hindi huminga","possible suicidal post"
"suko na ako sakit na","possible suicidal post"
"lf ka suntukan","possible suicidal post"
"Wow natapos ko pekomiko daisenso sa osu after magpahinga ng ilang araw","non-suicide"
"Hindi nalang sana ako natulog ng sobra kahapon","non-suicide"
"Addicted to genshin impact","non-suicide"
"Dalawang oras ako nag ayos amp","non-suicide"
"Old songs + midnight = ??","non-suicide"
"Ang lungkot tuloy ng ferson??","possible suicidal post"
"ibabangga ko to sasakyan para isang sakitan na lang","possible suicidal post"
"everyone not love me huhu","possible suicidal post"
"abusive thoughts","possible suicidal post"
"sobrang lungkot","possible suicidal post"
"Hapdi aking mata baka namumula na","non-suicide"
"Envy baby","non-suicide"
"Love me, love me not.","non-suicide"
"HAHAHAHAHAHA nangiistorbo para lang ikwento na nalulupitan sa albolaryo","non-suicide"
"Hindi talaga nakakasawa makinig ng podcast","non-suicide"
"Mas maaga gising ko sa usual na gosing ko ah","possible suicidal post"
"Talking to someone is exhausting, I like it","possible suicidal post"
"Umagang umaga na di pa din ako inaantok","possible suicidal post"
"Gusto ko sumaya","possible suicidal post"
"Sakit ng ulo ko parang ayaw ko na lumabas ng bahay hahahha","possible suicidal post"
"Nakakaenjoy talaga makinig ng podcast","non-suicide"
"Taena ang init","non-suicide"
"Neck hurts","non-suicide"
"It seems that I cant forget you","non-suicide"
"Putaena nagextend yung world hahahahaha panibagong ayos nanaman","non-suicide"
"Soon enough No more sana all ????","possible suicidal post"
"Ang toxic ??","possible suicidal post"
"Tila’y rosas na pula ??Meaning of life?","possible suicidal post"
"Siguro pwede na ma deads","possible suicidal post"
"Happy new year everyone! ??","possible suicidal post"
"Di ako makapaniwala nakapag clutch ako ng 1v4 kanina ako ba talaga yon?","non-suicide"
"Nasanay nasanay sorry","non-suicide"
"good morning HAHSHAHQHA <333","non-suicide"
"yung chorus ng Down Bad ?? saying f has never been this satisfying HAHAHAHA ??","non-suicide"
"kapround naman PRMSU ??","non-suicide"
"Mom, please lift me up ??","possible suicidal post"
"iintindihin nanaman mag-isa ??","possible suicidal post"
"ansama kong nilalaaaang","possible suicidal post"
"yo. pain.","possible suicidal post"
"ang sakit pa rin.","possible suicidal post"
"congratulations, self. proud ako sayo! <3","non-suicide"
"kapag naswertehan naman talaga oo!","non-suicide"
"June pa daw uulan ??","non-suicide"
"How to raise a naughty & stubborn kid.","non-suicide"
"stuck talaga me the first time i heard of it. THE VIBES","non-suicide"
"fvck it if i cant have us","possible suicidal post"
"fvck it if i cant have him","possible suicidal post"
"He’s so tired ????","possible suicidal post"
"MAAAAAAAA! ?? hahahahahhahahq","possible suicidal post"
"i h8 the feeling when u explain to someone what they did to u that made u feel upset ended u up regretting telling them bcoz instead of apologizing, they find a way to make you feel bad about it lol u get me? :<","possible suicidal post"
"kaya ba kasi 1k words each tour ??","non-suicide"
"perfect ang quiz 2 ni acclaaaaa! ????","non-suicide"
"nakalimutan ko na paano gumawa ng narrative reportttttt! ??","non-suicide"
"sobrang iyakin ko na dahil sa Cant Buy me Love ??","non-suicide"
"yay perfect!","non-suicide"
"i’m strong, but i cry too.","possible suicidal post"
"have you felt so lonely that you started crying? ","possible suicidal post"
"My expectations hurt me.","possible suicidal post"
"have you felt so lonely that you started crying?","possible suicidal post"
"Meaning of life?","possible suicidal post"
"mermek naman pala haha ??????","non-suicide"
"kahit bigyan nyo pa ako ng isang milyon, akin na","non-suicide"
"ggraduate na ako, mukha pa rin akong highschool student ??","non-suicide"
"Studying","non-suicide"
"bitter naman si baccla.","non-suicide"
"You tossed it in the trash, you did","possible suicidal post"
"Ang sakit sobra ng likod koooo","possible suicidal post"
"Pahinga.","possible suicidal post"
"Please dont be in love with someone else ??","possible suicidal post"
"Thank you po sa mga students ni mama, kaunti na lang mag kaka-tonsillitis na kami. Charr","possible suicidal post"
"kaproud naman ni Sir Cuevas ??","non-suicide"
"nagustuhan nila inuwi kong cat food mwehe <33","non-suicide"
"almonds+dark chocolate>>>>>","non-suicide"
"her first day on the job ????","non-suicide"
"hay miss q na agad mashaaa","non-suicide"
"holy shit","possible suicidal post"
"sobrang hirap","possible suicidal post"
"bobo magbudget ,bobo sa time management, bobo sa house chores :((","possible suicidal post"
"so anxious about lots of stuff lately","possible suicidal post"
"hirap mabuhay idol??","possible suicidal post"
"gurllllll what if? HAHQHQHAHAHA","non-suicide"
"di ko alam kung matutuwa ako sa panaginip na yon o ano ??","non-suicide"
"my type of weather ???","non-suicide"
"kabagalan naman ng bus na to.","non-suicide"
"kaya ba iclutch tong song writing?","non-suicide"
"Nastress na ako sa buhay ko","possible suicidal post"
"Ngayon ko nararamdaman yung pagod nung mo day at tuesday ang sakit ng buong katawan ko haha","possible suicidal post"
"Gave you all I had and you tossed it in the trash","possible suicidal post"
"You tossed it in the trash, you did","possible suicidal post"
"Pagod na ako ??","possible suicidal post"
"kqya pala maanghang ??","non-suicide"
"yoko na ng red days yawa","non-suicide"
"pati ba naman sa panaginip ??","non-suicide"
"after 2 weeks makakauwi na ako sa mga pusa q :>","non-suicide"
"nap time..??","non-suicide"
"You expect me to open up but you used my problem as a joke","possible suicidal post"
"2-3 hrs nalang ata kaya ko gawin na tulog","possible suicidal post"
"Sleep deprived pt.2","possible suicidal post"
"Kailangan ko makalimutan lahat ng ito","possible suicidal post"
"I want to shut up and die.","possible suicidal post"
"what if 30 items lang solving tapos puro elements na?","non-suicide"
"ginagawa ko na ang lahat para makaless sa trays ??","non-suicide"
"more vouchers sa shoppee HAHAHAHA","non-suicide"
"naiinis talaga ako pag may nawawala akong gamitttt kahit halagang bente pesos pa yan hahahahaha","non-suicide"
"magreview na baccla","non-suicide"
"Magbreakdown nanaman ba ako","possible suicidal post"
"Sobrang nipis na ng buhok ko ??","possible suicidal post"
"Wala akong matawag guys ??","possible suicidal post"
"Si lang nag reply sa lahat ng chinat ko ??","possible suicidal post"
"Kanino ako mag sasabi ng SOS?","possible suicidal post"
"dami naman aaralin shems","non-suicide"
"yung aso:((","non-suicide"
"matutulog ako","non-suicide"
"ang cravings ko po ay long term memory","non-suicide"
"uwi na tayo doccc","non-suicide"
"Should I hang myself leaving the 25k primogems behind?","possible suicidal post"
"I'm so depress right now fr","possible suicidal post"
"pass na ako ayoko na","possible suicidal post"
"bat pa ako yung sinaktan","possible suicidal post"
"sobrang sakit na talaga ayoko na","possible suicidal post"
"ay may acc pala ??","non-suicide"
"bat ba kasi pati pagsabog at bomba mga sinasagutan hahaha","non-suicide"
"????gutom nanaman","non-suicide"
"happy na si baccla ??","non-suicide"
"sakit na ng likod ko ??","non-suicide"
"Bad communication really ends a lot of good things.","possible suicidal post"
"it is what it is shit happens and that's okay BUT WHAT THE FUCK","possible suicidal post"
"ighting my inner demons ","possible suicidal post"
"bakit ganiyan ka Rj","possible suicidal post"
"kaya ko naman bbyahe nang mag-isa *umiyak*","possible suicidal post"
"Naiwan ko sa bahay plates ?? galing talaga ni baccla.","non-suicide"
"the plans for today:","non-suicide"
"I never say no to fries.","non-suicide"
"shet, sunod sunod ang gastossss!","non-suicide"
"shookt si baccla","non-suicide"
"sobrang sakit na talaga ayoko na","possible suicidal post"
"sukong suko na ako","possible suicidal post"
"fck this life","possible suicidal post"
"batrip na ako sa sarili ko","possible suicidal post"
"tama na po ayoko na","possible suicidal post"
"lutang nanaman aq","non-suicide"
"yes po, ganyan kalambing si masha q gang pagtulog hehe <3","non-suicide"
"Judging the neighbors while petting her kitten ??","non-suicide"
"kung ano ano naman kasi napipindot ng mga pusa na ito ??","non-suicide"
"??","non-suicide"
"Burnout nakoooo","possible suicidal post"
"Pagod nako toprank ??","possible suicidal post"
"Hindi ko alam kung saan galing yung mga questions ??","possible suicidal post"
"i was hurt the whole time, i just didn’t say anything.","possible suicidal post"
"Siguro pwede na ma deads","possible suicidal post"
"create your own path","non-suicide"
"tangina, what if?","non-suicide"
"good morning!","non-suicide"
"pwede naba umuwi... ay wala pa pala","non-suicide"
"muscle memory ?? maliiiiiii, gar.","non-suicide"
"road to heaven","possible suicidal post"
"di ko naman deserve to","possible suicidal post"
"drained,want to unalive myself","possible suicidal post"
"AAAAAAA PAGOD NA AKOOOOO, WANT KO NA MAGPAHINGA, FOREVER","possible suicidal post"
"naiiyak na ako sa galit ko buong araw!!!","possible suicidal post"
"NGARAG NA NGARAG KANINA BEH","non-suicide"
"uhaw sa tulog ??","non-suicide"
"kailan kaya ulit magiging legit na rest day ang saturday and sunday","non-suicide"
"heart is happy <3","non-suicide"
"be kind to yourself","non-suicide"
"bakit ba ang lungkot tanginaaaaaAaaAAaa magbbirthday e HAHAAHAHAHAHHAA","possible suicidal post"
":(","possible suicidal post"
"sa dami ng gastos ngayong 4th year, may 1500 pa palang babayaran para sa graduation fee? shems ang gastos talaga maging graduating student ??","possible suicidal post"
"gusto kong maging kalmado sa lahat ng bagay, kaso oa ako kaya wag nalang","possible suicidal post"
"pass na ako ayoko na","possible suicidal post"
"I love unplanned fun","non-suicide"
"Did you know?","non-suicide"
"yun nalang talaga ang pag-asa ko ??","non-suicide"
"lapit na bday sana umabot <3","non-suicide"
"bango ng chicken joy ng roommate ko ??","non-suicide"
"Like mastressa ak la unayen ??","possible suicidal post"
"Like gumaan yung pakiramdam ko sa mga sinabi ni","possible suicidal post"
"I know hindi enough ang preparation ko but still hoping for the best ??","possible suicidal post"
"Puro problema amp","possible suicidal post"
"Parang gusto kung sumabog ngayon","possible suicidal post"
"this ??????","non-suicide"
"why naman beh","non-suicide"
"tuwing gabi pinapaos ako ??","non-suicide"
"sto ko bumili ng tablet.  hindi para sa akin, para sa mga pusa ko.  HAHAHAHAHAHAHA","non-suicide"
"my self control disappears when it comes to:","non-suicide"
"sakit na ng ulo ko pero still can’t sleep","possible suicidal post"
"si ate ay fucked up nanaman ang mental health","possible suicidal post"
"i’m so depressed, i act like it’s my birthday every day","possible suicidal post"
"tatalon ako sa tulay","possible suicidal post"
"Mahal ko kayo","possible suicidal post"
"HAAAAAAY sarap sleep pag ganto talagaaaaaa <33333","non-suicide"
"naguurok na bukas ang mata ??","non-suicide"
"Watching tennis","non-suicide"
"toothtotooth","non-suicide"
"mas rinig pa yung daldalan namin ni clang dito sa recording ko ng klase sa md2 ??","non-suicide"
"Bro sabog na sabog ako kagabi","possible suicidal post"
"Back to suicidal thoughts","possible suicidal post"
"Kailangan ko ba ng tulong?","possible suicidal post"
"Hope I dont die from headache","possible suicidal post"
"Life is a race, I want to die first","possible suicidal post"
"How i met your mother","non-suicide"
"wala na, hindi na umusad kay nicolas.  sige beh gew.","non-suicide"
"Cleaning your glasses is like changing from 360p to 1080p","non-suicide"
"Lalagnatin ata si nanlibre ??","non-suicide"
"Busy ?","non-suicide"
"Nagdadalawang isip ako kay eula amp","possible suicidal post"
"Ang sakit sa ulo","possible suicidal post"
"Ang sakit ng buong katawan ko nanghihina ako","possible suicidal post"
"A little secret i cannot tell","possible suicidal post"
"Down","possible suicidal post"
"Yung acroball ko ??????????","non-suicide"
"Hello twitter long time no tweet ??","non-suicide"
"Lord, itinataas kuna po lahat sa inyo ????","non-suicide"
"Lord balato muna po sa akin ito ??","non-suicide"
"Bibigyan ko ito ng magandang laban ??","non-suicide"
"Haha, kaunti na lang talaga wala na akong mararamdaman??","possible suicidal post"
"Gusto ko bilhan ng regalo sarili ko kaya lang walang pera ?? saka na lang hahahahaha","possible suicidal post"
"Puro na lang stress ??","possible suicidal post"
"Aalis tayo ng may sama ng loob okay ??","possible suicidal post"
"Hindi nako sumaya shutang ina hahahahaha","possible suicidal post"
"Bakit hindi nanaman match score ko","non-suicide"
"feaRNothin??","non-suicide"
"your thoughts","non-suicide"
"“naiintindihan kita”is one the most comforting words to hear from someone","non-suicide"
"Love language namin ay mag asaran parati ??","non-suicide"
"Deep rest","possible suicidal post"
"Parang angbilis ng oras","possible suicidal post"
"Hindi ako sigurado kung nabawi ko tulog ko o hindi","possible suicidal post"
"KAYA BA BEH???","possible suicidal post"
"never na akong magiging positive","possible suicidal post"
"Ang sakit sobra ng likod koooo","non-suicide"
"Nag stay pa taena","non-suicide"
"Taenang ulan to hindi makalabas ng ayos bwisit.","non-suicide"
"Toxic pinoy mindset ????","non-suicide"
"Gustooo koooo lumabasss ??","non-suicide"
"Oki bahala na","possible suicidal post"
"Ang hirap mag invest sa taong hindi ikaw ang nais, promise painful siy??","possible suicidal post"
"Nag breakdown nanaman ako ??","possible suicidal post"
"mga sinungaling ayoko na","possible suicidal post"
"tsismis pa para mawala na","possible suicidal post"
"Ito nanaman pakiramdam ko pag ais ng bahay namin","non-suicide"
"Meaningful night?? kakaiba ka po talaga mag padala ng tao papa God. Thank you po ??","non-suicide"
"Gaano ba ako ka tapang? ??","non-suicide"
"4 mins dinner haha","non-suicide"
"Lubos na nagagalak ang aking puso ????","non-suicide"
"Why do I keep making suicidal jokes?","possible suicidal post"
"Hindi na mahalaga kung ano ang daan ang aking pupuntahan, wala din naman ako mapapala","possible suicidal post"
"Pagod","possible suicidal post"
"Please break my heart","possible suicidal post"
"Dead and cold","possible suicidal post"
"Poem Heaven","non-suicide"
"go easy on me.","non-suicide"
"Happy birthday ma dalawa lang muna wala kasi ako pera ?? hindi pa kaya yung tatlong cake na tag iisa kami love yo??","non-suicide"
"Kamusta kana?","non-suicide"
"Naalala ko yung 2 am nag lalakad ako sa burnham mag isa ??","non-suicide"
"fucked up day","possible suicidal post"
"Friday the 13th sucked i didnt even die","possible suicidal post"
"matutulog ka ng malungkot,  magigising ka ng mas malungkot","possible suicidal post"
"naiiyak ako na di ko maintindihan","possible suicidal post"
"at oo, ganon ako kadali itapon","possible suicidal post"
"totga??","non-suicide"
"Sakit makita dito sa Dau may mga naalala akong tao??","non-suicide"
"Tagal po !","non-suicide"
"ENJOY??","non-suicide"
"Halla maputla bako sa day ko?","non-suicide"
"tanginang mga ugali kasi ‘to, palalaan oh","possible suicidal post"
"sana wala na lang pasok bukas, gusto ko na umalis ng earth","possible suicidal post"
"as if maganda rin ginagawa mo","possible suicidal post"
"that was my last chance, missed the opportunity","possible suicidal post"
"bet ko na bumigay, pero ‘di ako selfish","possible suicidal post"
"Sakit makita dito sa Dau may mga naalala akong tao ??","non-suicide"
"Makauma pota.","non-suicide"
"Kinilig nako pwede na siguro matulog ??","non-suicide"
"Namiss kita ipagluto ngay ??","non-suicide"
"Pwede bang all i want for Christmas is you ??","non-suicide"
"a hug & blunt would make life better rn","possible suicidal post"
"Tang ina ano bang kasalanan ko bakit parang ang malas malas ko yung research ko ??","possible suicidal post"
"Yung research ko ??","possible suicidal post"
"Tama na Ang pagooverthink sheshh ????","possible suicidal post"
"Ganda mo bebekus ydnas, lakas ng dating ??","possible suicidal post"
"Hoyyy sakit ng paa ko ngayon lang ulit ako nag lakad lakad ng ganon kalalayo haha","non-suicide"
"Haweee want ko ng time lapse with ?? kaso for sure hindi nya gusto yun ??","non-suicide"
"Hinihika na ako kakatawa sa mga vlogs nila buset haha.","non-suicide"
"Ma! Sama ka pagas ako?  Hindi na. Sure ka?  San kaba mag papagas? CASTE MA?","non-suicide"
"I wish I could hug you right now????","non-suicide"
"pero nag-cheat ka?","possible suicidal post"
"saan ako pupulutin neto","possible suicidal post"
"lahat big deal","possible suicidal post"
"u should’ve told them how u cheated","possible suicidal post"
"so kung sa inyo “casual” shit lang ‘yon, that thing meant something sa akin","possible suicidal post"
"Namimiss ko si ano ??","non-suicide"
"Go make a name and stand for what you believe in????","non-suicide"
"Wala na akong peraaaaaaa jusssskoooooo ??","non-suicide"
"Me all the time","non-suicide"
"Miss kuna ang batch 1 ??","non-suicide"
"Its been 5 years and Im still suffering","possible suicidal post"
"I just want this to end. I want inner peace.","possible suicidal post"
"puyat na naman","possible suicidal post"
"fucked up haha","possible suicidal post"
"Puta i’m stressed because ang bobo ko na nga ang tamad ko pa ISA ISA LANG!!!!!!!","possible suicidal post"
"Thank you ading ??","non-suicide"
"Ayaw kuna sa bata juskoooo","non-suicide"
"Naka 1.6 pako ng last sem hahaha akala ko hindi na papasok GWA ko kasi may 8 units na mabigat sa bulsa. Buti na lang thank you lord??","non-suicide"
"Haha, sabi ni mama amoy pinaligo sa fabric pabago nanaman daw kwarto ko haha ??","non-suicide"
"Ang bango bango at ang linis ng kwarto ko hahahahaha","non-suicide"
"Ang bigat bigat na","possible suicidal post"
"suffocated by the pressure of life.","possible suicidal post"
"I don’t want to be in this world anymore","possible suicidal post"
"puro gastos gastos gastos paano makaka-ipon tangina ko","possible suicidal post"
"I can’t pretend like I understand","possible suicidal post"
