,text,Translated Text,Cleaned Text,label
119,ayaw niyo po ba talagang magdagat? hindi ba kayo naaawa sa akin???,don't you really want to go fishing? don't you feel sorry for me???,not really want go fishing not feel sorry,Possible Suicidal Post
120,COMING FROM U HA HAHAHAHHAHAHAHAHAHA FUNNY,COMING FROM U HA HAHAHAHHAHAHAHAHAHA FUNNY,come ha hahahahhahahahahaha funny,Possible Suicidal Post
121,Sumakit ulo ko sa pinagawa ni yae miko,I got a headache from what yae miko did,get headache what yae miko,Non-Suicide
122,Ang sakit talaga sa puso panoodin to your eternity,It's really heartbreaking to watch to your eternity,really heartbreaking watch eternity,Non-Suicide
123,Got scared when shizu said shell eat me,Got scared when shizu said shell eat me,got scar shizu say shell eat,Non-Suicide
124,Kailangan ko na maghanap ulit ng babasahin,I need to find something to read again,need find something read,Non-Suicide
125,Tawang tawa ako kay fafnir animal,I laughed at fafnir animal,laugh fafnir animal,Non-Suicide
126,NAIIYAK PLS LANG,JUST CRYING PLS,cry pls,Possible Suicidal Post
127,hanapin niyo po pake ko,look for me please,look please,Possible Suicidal Post
128,and if my wishes came true,and if my wishes came true,wish come true,Possible Suicidal Post
129,it wouldve been u,it wouldve been u,wouldve,Possible Suicidal Post
130,sweet nothing,sweet nothing,sweet nothing,Possible Suicidal Post
131,Tsuki ga kirei = 10/10,The moon is gone = 10/10,moon go,Non-Suicide
132,Tagal magupdate solo leveling,Time to update solo leveling,time update solo leveling,Non-Suicide
133,Naghahanap lang ako ng pangupgrade ko ng sakura tree pagtingin ko 100% ko na pala yung isang ,I'm just looking for an upgrade for my sakura tree. I looked and it turns out that I have 100% that one,look upgrade sakura tree look turn out one,Non-Suicide
134,Taena napanaginipan ko na bumiyahe ako magisa amp,Taena I dreamed that I traveled alone amp,taena dream travel alone amp,Non-Suicide
135,Di na pwede magmyday ng 20secs pataas?,Can't do myday for 20secs or more?,not myday sec more,Non-Suicide
136,Nandoon kana pero iba pa din hinanap ??,It's there but did you search for something else??,search something else,Possible Suicidal Post
137,Imy??,Immy??,immy,Possible Suicidal Post
138,lowkey hurt but oh well that’s life.,lowkey hurt but oh well that’s life.,lowkey hurt oh well life,Possible Suicidal Post
139,Pwedeba day off?,Pwedeba day off?,pwedeba day,Possible Suicidal Post
140,Nag stress eating nanaman ako ??,Am I stress eating??,stress eat,Possible Suicidal Post
141,Muntik na ako nag goodbye genshin amp,I almost said goodbye genshin amp,almost say goodbye genshin amp,Non-Suicide
142,Bakit paramg normal lang sa akin manood ng english dub kapag ghibli movie pinapanood ko,Why does it seem normal to me to watch an English dub when I watch a ghibli movie?,why seem normal watch english dub watch ghibli movie,Non-Suicide
143,Nakakasakit ng puso ng mahirap yung part na yon HAHAHAHA,That part hurts the heart of the poor HAHAHAHA,part hurt heart poor hahahaha,Non-Suicide
144,Sakit ng leeg,Neck pain,neck pain,Non-Suicide
145,Di na makakalaro sa pc,Can't play on pc anymore,not play pc anymore,Non-Suicide
146,"dalawang araw na akong walang kwenta, okay ayusin na ang bohai.","I've been useless for two days, okay fix the bohai.",useless two day okay fix bohai,Possible Suicidal Post
147,"yes po, walang matutulog mamaya. HAHAHAHA","yes, no one will sleep later. HAHAHAHA",yes no one sleep later hahahaha,Possible Suicidal Post
148,lagi nalang.,always.,always,Possible Suicidal Post
149,all over you,all over you,all over,Possible Suicidal Post
150,Thats toxic,Thats toxic,thats toxic,Non-Suicide
151,Pinakamagandang compliment na sinabi sa akin,Best compliment ever said to me,best compliment ever say,Non-Suicide
152,Bagay daw sa akin gumamit ng kazuha,It's fine for me to use kazuha,fine use kazuha,Non-Suicide
153,Hindi talaga ako nasasatisfy sa gacha game kapag hindi ko inuubos yung pang roll ko,I'm not really satisfied with the gacha game if I don't use up my roll,not really satisfy gacha game not use up roll,Non-Suicide
154,Satisfied,Satisfied,satisfied,Non-Suicide
156,sukong suko na ako,I give up,give up,Possible Suicidal Post
157,fck this life,fck this life,fck life,Possible Suicidal Post
158,batrip na ako sa sarili ko,I'm mad at myself,mad,Possible Suicidal Post
159,tama na po ayoko na,"that's right, I don't want it anymore",right not want anymore,Possible Suicidal Post
160,Di padin ako makapaniwala nanalo ako sa 50-50 pity,I still can't believe I won 50-50 pity,still not believe win pity,Non-Suicide
161,Sword Art Impact,Sword Art Impact,sword art impact,Non-Suicide
162,Bro why gugu have to die?,Bro why gugu have to die?,bro why gugu die,Non-Suicide
163,Nagsisitapos na mga pinapanood kong anime,My animes are ending,anime end,Non-Suicide
164,Addicted to Eula ost,Addicted to Eula ost,addict eula ost,Non-Suicide
166,What are the voices telling you ? Hahahaha,What are the voices telling you ? Hahahaha,what voice tell hahahaha,Possible Suicidal Post
167,I hate how I’m feeling rn.,I hate how I’m feeling rn.,hate how feel rn,Possible Suicidal Post
168,Medyo pagod na yung utak ko ??,My brain is a bit tired??,brain bit tired,Possible Suicidal Post
169,Lorddd pahingi ng willll ??,Lorddd please willll ??,lorddd please willll,Possible Suicidal Post
170,Nakakapangsisi manood ng shield hero nababadtrip ako,It's regrettable watching shield hero makes me trip,regrettable watch shield hero make trip,Non-Suicide
171,"I ised to like her, but now I only respect her as my friend","I ised to like her, but now I only respect her as my friend",ised like only respect friend,Non-Suicide
172,Eunectes y u so thicc?,Eunectes y u so thicc?,eunectes thicc,Non-Suicide
173,Bubu ng osamake animal naiyak ako HAHAHAHAHA,Bubu osamake animal made me cry HAHAHAHAHA,bubu osamake animal make cry hahahahaha,Non-Suicide
174,Putaena HAHAHAHAHA inubos ko na ata swerte ko sa mga gacha game ngayon,Putaena HAHAHAHAHA I've run out of luck with gacha games today,putaena hahahahaha run out luck gacha game today,Non-Suicide
175,ayaw ko na sa earth,I don't want to be on earth anymore,not want earth anymore,Possible Suicidal Post
176,pwede bang tumigil sa paghinga,can you stop breathing,stop breathe,Possible Suicidal Post
177,sa akin lagi ang sisi magbigti na lang,"It's always my fault, just hang yourself",always fault hang,Possible Suicidal Post
178,lagi na lang ako ayaw ko na,I just don't want to anymore,not want anymore,Possible Suicidal Post
179,dapat hindi na lang ako pinanganak,I should not have been born,not bear,Possible Suicidal Post
180,Its going to break,Its going to break,go break,Non-Suicide
181,Cheese omelette,Cheese omelette,cheese omelette,Non-Suicide
182,Ewan ko ba kung nasa mood pa ako maglaro ng valorant,I don't know if I'm still in the mood to play valorant,not know still mood play valorant,Non-Suicide
183,Falling in love with the moon again,Falling in love with the moon again,fall love moon,Non-Suicide
184,I love living my life like this,I love living my life like this,love live life like,Non-Suicide
185,send help hindi ko na kaya,send help i can't do it anymore,send help not anymore,Possible Suicidal Post
186,I'm not strong enough to live,I'm not strong enough to live,not strong enough live,Possible Suicidal Post
187,wag kang magmamahal kung ayaw mo mamatay ng maaga,don't love if you don't want to die early,not love not want die early,Possible Suicidal Post
188,im broken,im broken,im broken,Possible Suicidal Post
189,sorry ayoko na talaga,sorry i really don't want to,sorry really not want,Possible Suicidal Post
190,Parang gusto ko pa ng ice cream,I feel like I want more ice cream,feel like want more ice cream,Non-Suicide
191,Tanginang chismoso instincts yan,That's just chismoso instincts,chismoso instinct,Non-Suicide
192,Seryosong usapan ipapasok ko yung lasa ng kinakain ko HAHAHAHAHA,"Seriously, I will introduce the taste of what I eat HAHAHAHAHA",seriously introduce taste what eat hahahahaha,Non-Suicide
193,Panget ng lasa animal,Ugly animal taste,ugly animal taste,Non-Suicide
194,"Kala ko dati pa panget lasa ng mustard, ngayon natrauma na talaga ako sa lasa","I used to hate the taste of mustard, now I'm really traumatized by the taste",use hate taste mustard really traumatize taste,Non-Suicide
195,puro na lang pang gagag* suko na ako,I'm just going to give up,go give up,Possible Suicidal Post
196,hindi na ako magseseryoso gusto ko ng mawala,"I won't be serious anymore, I want to lose",not serious anymore want lose,Possible Suicidal Post
197,gusto kung malunod,want to drown,want drown,Possible Suicidal Post
198,dapat hindi na lang ako nagising,I should not have woken up,not wake up,Possible Suicidal Post
199,practice mamatay,practice die,practice die,Possible Suicidal Post
200,Big nice,Big nice,big nice,Non-Suicide
201,Ganda ng boses ni astel HAHAHAHAHA,Astel's voice is beautiful HAHAHAHAHA,astel voice beautiful hahahahaha,Non-Suicide
202,Sagad rewatch rick and morty nalimutan ko manood ng anime,Sagad rewatch rick and morty I forgot to watch the anime,sagad rewatch rick morty forget watch anime,Non-Suicide
203,Taena wala kong goal sa arknights ngayon amp,Taena I don't have a goal in arknights today amp,taena not goal arknights today amp,Non-Suicide
204,Leakers got outleaked by mihoyo,Leakers got outleaked by mihoyo,leaker get outleaked mihoyo,Non-Suicide
205,gabi gabi na lang akong umiiyak,I just cry at night,cry night,Possible Suicidal Post
206,maglaslas na lang,just slash,slash,Possible Suicidal Post
207,magpakalasing para matapos na ang buhay,get drunk to end life,get drunk end life,Possible Suicidal Post
208,ayoko na sa inyo hindi nyo na ako mahal,"I don't want you anymore, you don't love me anymore",not want anymore not love anymore,Possible Suicidal Post
209,puyat lang ng puyat hahaha,just stay up late hahaha,stay up late hahaha,Possible Suicidal Post
210,Ang kulit talaga ng tawa ni pikamee,Pikamee's laugh is really ugly,pikamee laugh really ugly,Non-Suicide
211,Gusto ko bilhin kaso tinatamad ako lumabas maglagay ng pera sa gcash,I want to buy because I'm too lazy to go out and put money in gcash,want buy because lazy go out put money gcash,Non-Suicide
212,Gusto ko bilhin muse dash,I want to buy muse dash,want buy muse dash,Non-Suicide
213,Taenang timing ng brownout yan,That's brownout timing,brownout time,Non-Suicide
214,Inubos buong energy sa osu,Spent all energy in osu,spent all energy osu,Non-Suicide
215,100% regret,100% regret,regret,Possible Suicidal Post
216,ang sakit sakit na,it hurts,hurt,Possible Suicidal Post
217,sarap hindi huminga,it's good not to breathe,good not breathe,Possible Suicidal Post
218,suko na ako sakit na,I'm sick of giving up,sick give up,Possible Suicidal Post
219,lf ka suntukan,lf you fight,lf fight,Possible Suicidal Post
220,Wow natapos ko pekomiko daisenso sa osu after magpahinga ng ilang araw,"Wow, I finished pekomiko daisenso in OSU after resting for a few days",wow finish pekomiko daisenso osu after rest few day,Non-Suicide
221,Hindi nalang sana ako natulog ng sobra kahapon,I wish I hadn't slept too much yesterday,wish not sleep much yesterday,Non-Suicide
222,Addicted to genshin impact,Addicted to genshin impact,addict genshin impact,Non-Suicide
223,Dalawang oras ako nag ayos amp,I spent two hours fixing the amp,spend two hour fix amp,Non-Suicide
224,Old songs + midnight = ??,Old songs + midnight = ??,old song midnight,Non-Suicide
225,Ang lungkot tuloy ng ferson??,Ferson is so sad??,ferson sad,Possible Suicidal Post
226,ibabangga ko to sasakyan para isang sakitan na lang,I will crash the car just to hurt you,crash car hurt,Possible Suicidal Post
227,everyone not love me huhu,everyone not love me huhu,everyone not love huhu,Possible Suicidal Post
228,abusive thoughts,abusive thoughts,abusive thought,Possible Suicidal Post
229,sobrang lungkot,really sad,really sad,Possible Suicidal Post
230,Hapdi aking mata baka namumula na,My eyes may be red,eye may red,Non-Suicide
231,Envy baby,Envy baby,envy baby,Non-Suicide
232,"Love me, love me not.","Love me, love me not.",love love not,Non-Suicide
233,HAHAHAHAHAHA nangiistorbo para lang ikwento na nalulupitan sa albolaryo,HAHAHAHAHAHA disturbing just to tell the story of being oppressed in the albolary,hahahahahaha disturb tell story oppress albolary,Non-Suicide
234,Hindi talaga nakakasawa makinig ng podcast,Listening to a podcast is never boring,listen podcast never boring,Non-Suicide
235,Mas maaga gising ko sa usual na gosing ko ah,I wake up earlier than my usual bedtime,wake up early than usual bedtime,Possible Suicidal Post
236,"Talking to someone is exhausting, I like it","Talking to someone is exhausting, I like it",talk someone exhaust like,Possible Suicidal Post
237,Umagang umaga na di pa din ako inaantok,It's morning when I'm still not sleepy,morning still not sleepy,Possible Suicidal Post
238,Gusto ko sumaya,I want to have fun,want fun,Possible Suicidal Post
239,Sakit ng ulo ko parang ayaw ko na lumabas ng bahay hahahha,My head hurts like I don't want to leave the house hahaha,head hurt like not want leave house hahaha,Possible Suicidal Post
240,Nakakaenjoy talaga makinig ng podcast,I really enjoy listening to podcasts,really enjoy listen podcasts,Non-Suicide
241,Taena ang init,The heat is hot,heat hot,Non-Suicide
242,Neck hurts,Neck hurts,neck hurt,Non-Suicide
243,It seems that I cant forget you,It seems that I cant forget you,seem cant forget,Non-Suicide
244,Putaena nagextend yung world hahahahaha panibagong ayos nanaman,Putaena the world has extended hahahahaha it's fine again,putaena world extend hahahahaha fine,Non-Suicide
245,Soon enough No more sana all ????,Soon enough No more sana all ????,soon enough no more sana all,Possible Suicidal Post
246,Ang toxic ??,Ang toxic ??,ang toxic,Possible Suicidal Post
247,Tila’y rosas na pula ??Meaning of life?,It seems to be a red rose ??Meaning of life?,seem red rise meaning life,Possible Suicidal Post
248,Siguro pwede na ma deads,Maybe it can be dead,maybe dead,Possible Suicidal Post
249,Happy new year everyone! ??,Happy new year everyone! ??,happy new year everyone,Possible Suicidal Post
250,Di ako makapaniwala nakapag clutch ako ng 1v4 kanina ako ba talaga yon?,"I can't believe I was able to clutch 1v4 earlier, is that really me?",not believe able clutch earlier really,Non-Suicide
251,Nasanay nasanay sorry,Got used to sorry,got use sorry,Non-Suicide
252,good morning HAHSHAHQHA <333,good morning HAHSHAHQHA <333,good morning hahshahqha,Non-Suicide
253,yung chorus ng Down Bad ?? saying f has never been this satisfying HAHAHAHA ??,the chorus of Down Bad ?? saying f has never been this satisfying HAHAHAHA ??,chorus down bad say never satisfy hahahaha,Non-Suicide
254,kapround naman PRMSU ??,what about PRMSU??,what prmsu,Non-Suicide
255,"Mom, please lift me up ??","Mom, please lift me up ??",mom please lift up,Possible Suicidal Post
256,iintindihin nanaman mag-isa ??,will you understand on your own??,understand own,Possible Suicidal Post
257,ansama kong nilalaaaang,I love it,love,Possible Suicidal Post
258,yo. pain.,yo. pain.,yo pain,Possible Suicidal Post
259,ang sakit pa rin.,the pain is still there.,pain still,Possible Suicidal Post
260,"congratulations, self. proud ako sayo! <3","congratulations, self. I'm proud of you! <3",congratulation self proud,Non-Suicide
261,kapag naswertehan naman talaga oo!,when really lucky yes!,really lucky yes,Non-Suicide
262,June pa daw uulan ??,It's still raining in June??,still rain june,Non-Suicide
263,How to raise a naughty & stubborn kid.,How to raise a naughty & stubborn kid.,how raise naughty stubborn kid,Non-Suicide
264,stuck talaga me the first time i heard of it. THE VIBES,stuck talaga me the first time i heard of it. THE VIBES,stuck talaga first time heard vibe,Non-Suicide
265,fvck it if i cant have us,fvck it if i cant have us,fvck cant u,Possible Suicidal Post
266,fvck it if i cant have him,fvck it if i cant have him,fvck cant,Possible Suicidal Post
267,He’s so tired ????,He’s so tired ????,tired,Possible Suicidal Post
268,MAAAAAAAA! ?? hahahahahhahahq,MAAAAAAA! ?? hahahahahahahq,maaaaaaa hahahahahahahq,Possible Suicidal Post
269,"i h8 the feeling when u explain to someone what they did to u that made u feel upset ended u up regretting telling them bcoz instead of apologizing, they find a way to make you feel bad about it lol u get me? :<","i h8 the feeling when u explain to someone what they did to u that made u feel upset ended u up regretting telling them bcoz instead of apologizing, they find a way to make you feel bad about it lol u get me? :<",feeling explain someone what make feel upset end up regret tell bcoz instead apologize find way make feel bad lol get,Possible Suicidal Post
270,kaya ba kasi 1k words each tour ??,can it be 1k words each tour??,word tour,Non-Suicide
271,perfect ang quiz 2 ni acclaaaaa! ????,acclaaaaa's quiz 2 is perfect! ????,acclaaaaa quiz perfect,Non-Suicide
272,nakalimutan ko na paano gumawa ng narrative reportttttt! ??,I forgot how to make a narrative reportttttt! ??,forget how make narrative reportttttt,Non-Suicide
273,sobrang iyakin ko na dahil sa Cant Buy me Love ??,I cried so much because of Cant Buy me Love??,cry much because cant buy love,Non-Suicide
274,yay perfect!,yay perfect!,yay perfect,Non-Suicide
275,"i’m strong, but i cry too.","i’m strong, but i cry too.",strong cry,Possible Suicidal Post
276,have you felt so lonely that you started crying? ,have you felt so lonely that you started crying?,felt lonely start cry,Possible Suicidal Post
277,My expectations hurt me.,My expectations hurt me.,expectation hurt,Possible Suicidal Post
278,have you felt so lonely that you started crying?,have you felt so lonely that you started crying?,felt lonely start cry,Possible Suicidal Post
279,Meaning of life?,Meaning of life?,meaning life,Possible Suicidal Post
280,mermek naman pala haha ??????,it's funny haha ​​??????,funny haha,Non-Suicide
281,"kahit bigyan nyo pa ako ng isang milyon, akin na","even if you give me a million, it's mine",even give million mine,Non-Suicide
282,"ggraduate na ako, mukha pa rin akong highschool student ??","I have graduated, I still look like a high school student??",graduate still look like high school student,Non-Suicide
283,Studying,Studying,study,Non-Suicide
284,bitter naman si baccla.,bitter naman si baccla.,bitter naman si baccla,Non-Suicide
285,"You tossed it in the trash, you did","You tossed it in the trash, you did",toss trash,Possible Suicidal Post
