,Unnamed: 0,text,label,Translated Text,Cleaned Text
25,25,Kaya pa ba?,possible suicidal post,Is it still possible?,still possible
26,26,Sakit na,possible suicidal post,It hurts,hurt
27,27,Pag galit wag manakit,possible suicidal post,"When angry, don't hurt",angry not hurt
28,28,Wala ngang kasama,possible suicidal post,There is no companion,no companion
29,29,Bakit saakin pa,possible suicidal post,Why is it up to me?,why up
30,30,Walang maisip na idrawing,non-suicide,Can't think of anything to draw,not think anything draw
31,31,Mas maayos ata pagkakagawa ko ngayon kaysa sa mga dati kong gawa ah,non-suicide,My work is better now than what I used to do,work well than what use
32,32,Sana hindi magkasakit kakatawa,non-suicide,I hope you don't get sick laughing,hope not get sick laughing
33,33,Ang sakit ng ulo ko,non-suicide,My head hurts,head hurt
34,34,Nalss ako sa oden song amp,non-suicide,I love oden song amp,love oden song amp
35,35,Im feeling lonely,possible suicidal post,Im feeling lonely,im feeling lonely
36,36,Di na kaya alak to,possible suicidal post,I can't drink anymore,not drink anymore
37,37,Ganun na nga kasi,possible suicidal post,That's how it is,how
38,38,Kung pwede pa sana,possible suicidal post,If only it were possible,only possible
39,39,Bilyar,possible suicidal post,Billiards,billiards
40,40,"A daikon ganmo, chikuwa ni tamago??",non-suicide,"A big fish, a chicken and a egg?",big fish chicken egg
41,41,Wala to di ako makakatulog agad HAHAHAHAHA,non-suicide,"Nothing, I can't sleep right away HAHAHAHAHA",nothing not sleep right away hahahahaha
42,42,Wala ako sa laro amp,non-suicide,I'm not in the game amp,not game amp
43,43,MoMa. Movie mag-isa,non-suicide,Mom. Movie alone,mom movie alone
44,44,4 na movie pa ng one piece,non-suicide,4 more movies of one piece,more movie one piece
45,45,Na hack pa fb ko badtrip,possible suicidal post,Badtrip even hacked my fb,badtrip even hack fb
46,46,Lonely right now,possible suicidal post,Lonely right now,lonely right
47,47,Bakit ako pa nasaktan,possible suicidal post,Why am I still hurt?,why still hurt
48,48,Hard to accept the reality,possible suicidal post,Hard to accept the reality,hard accept reality
49,49,I miss you,possible suicidal post,I miss you,miss
50,50,Wow di pa din deretso tulog ko,non-suicide,"Wow, I haven't slept straight yet",wow not sleep straight yet
51,51,Hahahaha deja vu,non-suicide,Hahahaha already seen,hahahaha already see
52,52,Iniisip ko pa din kung magkakape ako o hindi,non-suicide,I'm still thinking about whether I should have coffee or not,still think whether coffee not
53,53,Di ako makapagdecide sa gagawin ko amp,non-suicide,I can't decide what to do amp,not decide what amp
54,54,Gusto kong sumaya,non-suicide,I want to have fun,want fun
55,55,ilang quiz ng mali mali sagot ,possible suicidal post,some quiz with wrong wrong answer,quiz wrong wrong answer
56,56,nawawal na ako sa sarili ko,possible suicidal post,I lost myself,lose
57,57,Topic na topic name ko sa mga gc HAHAHHAHAHA,possible suicidal post,My topic topic name in gc HAHAHHAHAHA,topic topic name gc hahahhahaha
58,58,late nyo na nga ing process papers namin tapos tatawagin nyo pa akong Mr. ??? ,possible suicidal post,Our process papers are already late and you will call me Mr. ???,process paper already late call mr
59,59,why naman kayo ganyan,possible suicidal post,why are you like that?,why like
60,60,Nanghihina ako,non-suicide,I feel weak,feel weak
61,61,Parang gusto ko umiyak bigla HAHAHAHAHA,non-suicide,I feel like crying all of a sudden HAHAHAHAHA,feel like cry all sudden hahahahaha
62,62,Ang sakit ng ulo ko,non-suicide,My head hurts,head hurt
63,63,Something I wanted to feel??,non-suicide,Something I wanted to feel??,something want feel
64,64,Tutulog nalang ako maaga,non-suicide,I'll go to bed early,go bed early
65,65,ang sensitive,possible suicidal post,the sensitive,sensitive
66,66,lahat na lang masamain ,possible suicidal post,everything is bad,everything bad
67,67,okay guys alam ko na step toxic hahahaha,possible suicidal post,okay guys I know that step is toxic hahahaha,okay guy know step toxic hahahaha
68,68,now lang ito,possible suicidal post,it's just now,
69,69,sana next week na,possible suicidal post,I hope it's next week,hope next week
70,70,Wow di pa din deretso tulog ko,non-suicide,"Wow, I haven't slept straight yet",wow not sleep straight yet
71,71,Buti nalang masaya na talaga ako,non-suicide,Good thing I'm really happy,good thing really happy
72,72,May pilay ata kamay ko,non-suicide,My hand is lame,hand lame
73,73,Glow up,non-suicide,Glow up,glow up
74,74,PAIN,non-suicide,PAIN,pain
75,75,Hindi lahat ha !! yung mga toxic talaga !!,possible suicidal post,Not everyone!! those are really toxic!!,not everyone really toxic
76,76,gusto ko na mawala to !!,possible suicidal post,I want to lose it!!,want lose
77,77,wag mo sabihan ng ganun mama ko ! sampal ko pa sayo pera mo at tae ng anak mo,possible suicidal post,don't say that my mom! I'll slap you for your money and your child's shit,not say mom slap money child shit
78,78,buti na lang may napagkwekwentuhan ako ng probems ko <3,possible suicidal post,"Fortunately, I was able to talk to someone about my problems <3",fortunately able talk someone problem
79,79,"nag alarm ako para sana magaral , di mag selpon",possible suicidal post,"I set the alarm so I could preach, not use my cell phone",set alarm preach not use cell phone
80,80,Patulog na ako eh may bumangga sa tapat ng bahay,non-suicide,I was about to sleep when someone crashed in front of the house,sleep someone crash front house
81,81,Tangina bat parang kasalanan ko pa,non-suicide,At least it's still my fault,least still fault
82,82,Badtrip,non-suicide,Bad trip,bad trip
83,83,Ikot ako ng ikot nakuha ko na pala lahat,non-suicide,I went round and round and I got it all,go round round get all
84,84,Tamang antay nalang sa susunod na story,non-suicide,Just wait for the next story,wait next story
85,85,kakapikon,possible suicidal post,squinting,squint
86,86,di ko alam bat naiinis ako sayo,possible suicidal post,I don't know if I'm annoyed with you,not know annoy
87,87,grabe pa rin talaga impact ng small circle of friends,possible suicidal post,the impact of the small circle of friends is still really bad,impact small circle friend still really bad
88,88,nakakaduda pa din,possible suicidal post,still doubtful,still doubtful
89,89,dili na lang magtalk sa ugali nilam,possible suicidal post,don't just talk about their behavior,not talk behavior
90,90,Bawasan ko pa kaya yung 600 friends ko?,non-suicide,Can I reduce my 600 friends?,reduce friend
91,91,"No, Im not crying, you are.",non-suicide,"No, Im not crying, you are.",no im not cry
92,92,"Mahirap subukan, hindi malakas loob na subukan kausapin",non-suicide,"It's hard to try, not brave enough to try to talk",hard try not brave enough try talk
93,93,"I am interested on you, but I dont know how to start a conversation.",non-suicide,"I am interested on you, but I dont know how to start a conversation.",interested dont know how start conversation
94,94,Isasarili ko nalang,non-suicide,I'll keep it to myself,keep
95,95,beh ang bobo mo talaga literal,possible suicidal post,well you are literally stupid,well literally stupid
96,96,sasabog na ata ulo ko,possible suicidal post,my head is going to explode,head go explode
97,97,panay ka paawa sa fb,possible suicidal post,you are always welcome on fb,always welcome fb
98,98,apply mo rin sana sa sarili mo,possible suicidal post,You should also apply it to yourself,also apply
99,99,tinawanan lang ako ng parents ko nung sinabi kong benta ko na lupa ko,possible suicidal post,My parents just laughed at me when I said I was selling my land,parent laugh say sell land
100,100,Bakit mas maganda kausap ang babae kapag may problema ka?,non-suicide,Why is it better to talk to women when you have a problem?,why good talk woman problem
101,101,Feelings successfully forgotten.,non-suicide,Feelings successfully forgotten.,feeling successfully forget
102,102,Sinabi ko lang nag mag aaral na talaga ako next school year nagtingin agad ng gaming laptop amp ,non-suicide,I just said that I'm really going to study next school year and immediately looked for a gaming laptop amp,say really go study next school year immediately look gaming laptop amp
103,103,Ngayon iniisip ko na kung bakit ako bumili ng kazoo,non-suicide,Now I wonder why I bought a kazoo,wonder why buy kazoo
104,104,Basta marinig na yung overtaken sa one piece goosebumps agad,non-suicide,Just hearing that overtaken in one piece immediately gives goosebumps,hearing overtake one piece immediately give goosebump
105,105,"pre period, post period, period period sadness <<<<",possible suicidal post,"pre period, post period, period period sadness <<<<",pre period post period period period sadness
106,106,pinaglaruan ni mareng taylor,possible suicidal post,mareng taylor exclaimed,mareng taylor exclaim
107,107,nahawa na sa kaartehan ko sa buhay,possible suicidal post,I've been infected with my arrogance in life,infect arrogance life
108,108,hindi naman tao si blossom pero lagi ko siyang kaaway,possible suicidal post,blossom is not human but she is always my enemy,blossom not human always enemy
109,109,nakakadrain kayo,possible suicidal post,you are draining,drain
110,110,pagod na ako beh,possible suicidal post,I'm tired,tire
111,111,Not motivated to draw,non-suicide,Not motivated to draw,not motivate draw
112,112,Sure ako di pa din kuntento community sa rewards,non-suicide,I'm sure the community is still not satisfied with the rewards,sure community still not satisfy reward
113,113,Sabi na tama ako na glider ang gift eh,non-suicide,He said I was right that the gift was a glider,say right gift glider
114,114,Sobrang toxic na ng genshin community,non-suicide,The genshin community is so toxic,genshin community toxic
115,115,Pag naririnig ko yung opening 1 ng kobayashis dragon maid gusto ko umikot ikot din,non-suicide,"When I hear the opening 1 of Kobayashi's dragon maid, I want to turn around",hear opening kobayashi dragon maid want turn around
116,116,"naiinis, naiiyak, nababadtrip, naiirita, napipikon",possible suicidal post,"annoyed, crying, tripping, irritated, cringing",annoy cry trip irritated cringing
117,117,really need a hug,possible suicidal post,really need a hug,really need hug
118,118,but what abt me,possible suicidal post,but what abt me,what abt
119,119,ayaw niyo po ba talagang magdagat? hindi ba kayo naaawa sa akin???,possible suicidal post,don't you really want to go fishing? don't you feel sorry for me???,not really want go fishing not feel sorry
120,120,COMING FROM U HA HAHAHAHHAHAHAHAHAHA FUNNY,possible suicidal post,COMING FROM U HA HAHAHAHHAHAHAHAHAHA FUNNY,come ha hahahahhahahahahaha funny
121,121,Sumakit ulo ko sa pinagawa ni yae miko,non-suicide,I got a headache from what yae miko did,get headache what yae miko
122,122,Ang sakit talaga sa puso panoodin to your eternity,non-suicide,It's really heartbreaking to watch to your eternity,really heartbreaking watch eternity
123,123,Got scared when shizu said shell eat me,non-suicide,Got scared when shizu said shell eat me,got scar shizu say shell eat
124,124,Kailangan ko na maghanap ulit ng babasahin,non-suicide,I need to find something to read again,need find something read
125,125,Tawang tawa ako kay fafnir animal,non-suicide,I laughed at fafnir animal,laugh fafnir animal
126,126,NAIIYAK PLS LANG,possible suicidal post,JUST CRYING PLS,cry pls
127,127,hanapin niyo po pake ko,possible suicidal post,look for me please,look please
128,128,and if my wishes came true,possible suicidal post,and if my wishes came true,wish come true
129,129,it wouldve been u,possible suicidal post,it wouldve been u,wouldve
130,130,sweet nothing,possible suicidal post,sweet nothing,sweet nothing
131,131,Tsuki ga kirei = 10/10,non-suicide,The moon is gone = 10/10,moon go
132,132,Tagal magupdate solo leveling,non-suicide,Time to update solo leveling,time update solo leveling
133,133,Naghahanap lang ako ng pangupgrade ko ng sakura tree pagtingin ko 100% ko na pala yung isang ,non-suicide,I'm just looking for an upgrade for my sakura tree. I looked and it turns out that I have 100% that one,look upgrade sakura tree look turn out one
134,134,Taena napanaginipan ko na bumiyahe ako magisa amp,non-suicide,Taena I dreamed that I traveled alone amp,taena dream travel alone amp
135,135,Di na pwede magmyday ng 20secs pataas?,non-suicide,Can't do myday for 20secs or more?,not myday sec more
136,136,Nandoon kana pero iba pa din hinanap ??,possible suicidal post,It's there but did you search for something else??,search something else
137,137,Imy??,possible suicidal post,Immy??,immy
138,138,lowkey hurt but oh well that’s life.,possible suicidal post,lowkey hurt but oh well that’s life.,lowkey hurt oh well life
139,139,Pwedeba day off?,possible suicidal post,Pwedeba day off?,pwedeba day
140,140,Nag stress eating nanaman ako ??,possible suicidal post,Am I stress eating??,stress eat
141,141,Muntik na ako nag goodbye genshin amp,non-suicide,I almost said goodbye genshin amp,almost say goodbye genshin amp
142,142,Bakit paramg normal lang sa akin manood ng english dub kapag ghibli movie pinapanood ko,non-suicide,Why does it seem normal to me to watch an English dub when I watch a ghibli movie?,why seem normal watch english dub watch ghibli movie
143,143,Nakakasakit ng puso ng mahirap yung part na yon HAHAHAHA,non-suicide,That part hurts the heart of the poor HAHAHAHA,part hurt heart poor hahahaha
144,144,Sakit ng leeg,non-suicide,Neck pain,neck pain
145,145,Di na makakalaro sa pc,non-suicide,Can't play on pc anymore,not play pc anymore
146,146,"dalawang araw na akong walang kwenta, okay ayusin na ang bohai.",possible suicidal post,"I've been useless for two days, okay fix the bohai.",useless two day okay fix bohai
147,147,"yes po, walang matutulog mamaya. HAHAHAHA",possible suicidal post,"yes, no one will sleep later. HAHAHAHA",yes no one sleep later hahahaha
149,149,lagi nalang.,possible suicidal post,always.,always
150,150,all over you,possible suicidal post,all over you,all over
151,151,Thats toxic,non-suicide,Thats toxic,thats toxic
152,152,Pinakamagandang compliment na sinabi sa akin,non-suicide,Best compliment ever said to me,best compliment ever say
153,153,Bagay daw sa akin gumamit ng kazuha,non-suicide,It's fine for me to use kazuha,fine use kazuha
154,154,Hindi talaga ako nasasatisfy sa gacha game kapag hindi ko inuubos yung pang roll ko,non-suicide,I'm not really satisfied with the gacha game if I don't use up my roll,not really satisfy gacha game not use up roll
155,155,Satisfied,non-suicide,Satisfied,satisfied
156,156,BEH KAYA BA??,possible suicidal post,CAN YOU DO IT??,
157,157,sukong suko na ako,possible suicidal post,I give up,give up
158,158,fck this life,possible suicidal post,fck this life,fck life
159,159,batrip na ako sa sarili ko,possible suicidal post,I'm mad at myself,mad
160,160,tama na po ayoko na,possible suicidal post,"that's right, I don't want it anymore",right not want anymore
161,161,Di padin ako makapaniwala nanalo ako sa 50-50 pity,non-suicide,I still can't believe I won 50-50 pity,still not believe win pity
162,162,Sword Art Impact,non-suicide,Sword Art Impact,sword art impact
163,163,Bro why gugu have to die?,non-suicide,Bro why gugu have to die?,bro why gugu die
164,164,Nagsisitapos na mga pinapanood kong anime,non-suicide,My animes are ending,anime end
165,165,Addicted to Eula ost,non-suicide,Addicted to Eula ost,addict eula ost
166,166,Kakayanin ko ??,possible suicidal post,I can do it ??,
167,167,What are the voices telling you ? Hahahaha,possible suicidal post,What are the voices telling you ? Hahahaha,what voice tell hahahaha
168,168,I hate how I’m feeling rn.,possible suicidal post,I hate how I’m feeling rn.,hate how feel rn
169,169,Medyo pagod na yung utak ko ??,possible suicidal post,My brain is a bit tired??,brain bit tired
170,170,Lorddd pahingi ng willll ??,possible suicidal post,Lorddd please willll ??,lorddd please willll
171,171,Nakakapangsisi manood ng shield hero nababadtrip ako,non-suicide,It's regrettable watching shield hero makes me trip,regrettable watch shield hero make trip
172,172,"I ised to like her, but now I only respect her as my friend",non-suicide,"I ised to like her, but now I only respect her as my friend",ised like only respect friend
173,173,Eunectes y u so thicc?,non-suicide,Eunectes y u so thicc?,eunectes thicc
174,174,Bubu ng osamake animal naiyak ako HAHAHAHAHA,non-suicide,Bubu osamake animal made me cry HAHAHAHAHA,bubu osamake animal make cry hahahahaha
175,175,Putaena HAHAHAHAHA inubos ko na ata swerte ko sa mga gacha game ngayon,non-suicide,Putaena HAHAHAHAHA I've run out of luck with gacha games today,putaena hahahahaha run out luck gacha game today
176,176,ayaw ko na sa earth,possible suicidal post,I don't want to be on earth anymore,not want earth anymore
177,177,pwede bang tumigil sa paghinga,possible suicidal post,can you stop breathing,stop breathe
178,178,sa akin lagi ang sisi magbigti na lang,possible suicidal post,"It's always my fault, just hang yourself",always fault hang
179,179,lagi na lang ako ayaw ko na,possible suicidal post,I just don't want to anymore,not want anymore
180,180,dapat hindi na lang ako pinanganak,possible suicidal post,I should not have been born,not bear
181,181,Its going to break,non-suicide,Its going to break,go break
182,182,Cheese omelette,non-suicide,Cheese omelette,cheese omelette
183,183,Ewan ko ba kung nasa mood pa ako maglaro ng valorant,non-suicide,I don't know if I'm still in the mood to play valorant,not know still mood play valorant
184,184,Falling in love with the moon again,non-suicide,Falling in love with the moon again,fall love moon
185,185,I love living my life like this,non-suicide,I love living my life like this,love live life like
186,186,send help hindi ko na kaya,possible suicidal post,send help i can't do it anymore,send help not anymore
187,187,I'm not strong enough to live,possible suicidal post,I'm not strong enough to live,not strong enough live
188,188,wag kang magmamahal kung ayaw mo mamatay ng maaga,possible suicidal post,don't love if you don't want to die early,not love not want die early
189,189,im broken,possible suicidal post,im broken,im broken
190,190,sorry ayoko na talaga,possible suicidal post,sorry i really don't want to,sorry really not want
191,191,Parang gusto ko pa ng ice cream,non-suicide,I feel like I want more ice cream,feel like want more ice cream
192,192,Tanginang chismoso instincts yan,non-suicide,That's just chismoso instincts,chismoso instinct
193,193,Seryosong usapan ipapasok ko yung lasa ng kinakain ko HAHAHAHAHA,non-suicide,"Seriously, I will introduce the taste of what I eat HAHAHAHAHA",seriously introduce taste what eat hahahahaha
194,194,Panget ng lasa animal,non-suicide,Ugly animal taste,ugly animal taste
195,195,"Kala ko dati pa panget lasa ng mustard, ngayon natrauma na talaga ako sa lasa",non-suicide,"I used to hate the taste of mustard, now I'm really traumatized by the taste",use hate taste mustard really traumatize taste
196,196,puro na lang pang gagag* suko na ako,possible suicidal post,I'm just going to give up,go give up
197,197,hindi na ako magseseryoso gusto ko ng mawala,possible suicidal post,"I won't be serious anymore, I want to lose",not serious anymore want lose
198,198,gusto kung malunod,possible suicidal post,want to drown,want drown
199,199,dapat hindi na lang ako nagising,possible suicidal post,I should not have woken up,not wake up
200,200,practice mamatay,possible suicidal post,practice die,practice die
201,201,Big nice,non-suicide,Big nice,big nice
202,202,Ganda ng boses ni astel HAHAHAHAHA,non-suicide,Astel's voice is beautiful HAHAHAHAHA,astel voice beautiful hahahahaha
203,203,Sagad rewatch rick and morty nalimutan ko manood ng anime,non-suicide,Sagad rewatch rick and morty I forgot to watch the anime,sagad rewatch rick morty forget watch anime
204,204,Taena wala kong goal sa arknights ngayon amp,non-suicide,Taena I don't have a goal in arknights today amp,taena not goal arknights today amp
205,205,Leakers got outleaked by mihoyo,non-suicide,Leakers got outleaked by mihoyo,leaker get outleaked mihoyo
206,206,gabi gabi na lang akong umiiyak,possible suicidal post,I just cry at night,cry night
207,207,maglaslas na lang,possible suicidal post,just slash,slash
208,208,magpakalasing para matapos na ang buhay,possible suicidal post,get drunk to end life,get drunk end life
209,209,ayoko na sa inyo hindi nyo na ako mahal,possible suicidal post,"I don't want you anymore, you don't love me anymore",not want anymore not love anymore
210,210,puyat lang ng puyat hahaha,possible suicidal post,just stay up late hahaha,stay up late hahaha
211,211,Ang kulit talaga ng tawa ni pikamee,non-suicide,Pikamee's laugh is really ugly,pikamee laugh really ugly
212,212,Gusto ko bilhin kaso tinatamad ako lumabas maglagay ng pera sa gcash,non-suicide,I want to buy because I'm too lazy to go out and put money in gcash,want buy because lazy go out put money gcash
213,213,Gusto ko bilhin muse dash,non-suicide,I want to buy muse dash,want buy muse dash
214,214,Taenang timing ng brownout yan,non-suicide,That's brownout timing,brownout time
215,215,Inubos buong energy sa osu,non-suicide,Spent all energy in osu,spent all energy osu
216,216,100% regret,possible suicidal post,100% regret,regret
217,217,ang sakit sakit na,possible suicidal post,it hurts,hurt
218,218,sarap hindi huminga,possible suicidal post,it's good not to breathe,good not breathe
219,219,suko na ako sakit na,possible suicidal post,I'm sick of giving up,sick give up
220,220,lf ka suntukan,possible suicidal post,lf you fight,lf fight
221,221,Wow natapos ko pekomiko daisenso sa osu after magpahinga ng ilang araw,non-suicide,"Wow, I finished pekomiko daisenso in OSU after resting for a few days",wow finish pekomiko daisenso osu after rest few day
222,222,Hindi nalang sana ako natulog ng sobra kahapon,non-suicide,I wish I hadn't slept too much yesterday,wish not sleep much yesterday
223,223,Addicted to genshin impact,non-suicide,Addicted to genshin impact,addict genshin impact
224,224,Dalawang oras ako nag ayos amp,non-suicide,I spent two hours fixing the amp,spend two hour fix amp
225,225,Old songs + midnight = ??,non-suicide,Old songs + midnight = ??,old song midnight
226,226,Ang lungkot tuloy ng ferson??,possible suicidal post,Ferson is so sad??,ferson sad
227,227,ibabangga ko to sasakyan para isang sakitan na lang,possible suicidal post,I will crash the car just to hurt you,crash car hurt
228,228,everyone not love me huhu,possible suicidal post,everyone not love me huhu,everyone not love huhu
229,229,abusive thoughts,possible suicidal post,abusive thoughts,abusive thought
230,230,sobrang lungkot,possible suicidal post,really sad,really sad
231,231,Hapdi aking mata baka namumula na,non-suicide,My eyes may be red,eye may red
232,232,Envy baby,non-suicide,Envy baby,envy baby
233,233,"Love me, love me not.",non-suicide,"Love me, love me not.",love love not
234,234,HAHAHAHAHAHA nangiistorbo para lang ikwento na nalulupitan sa albolaryo,non-suicide,HAHAHAHAHAHA disturbing just to tell the story of being oppressed in the albolary,hahahahahaha disturb tell story oppress albolary
235,235,Hindi talaga nakakasawa makinig ng podcast,non-suicide,Listening to a podcast is never boring,listen podcast never boring
236,236,Mas maaga gising ko sa usual na gosing ko ah,possible suicidal post,I wake up earlier than my usual bedtime,wake up early than usual bedtime
237,237,"Talking to someone is exhausting, I like it",possible suicidal post,"Talking to someone is exhausting, I like it",talk someone exhaust like
238,238,Umagang umaga na di pa din ako inaantok,possible suicidal post,It's morning when I'm still not sleepy,morning still not sleepy
239,239,Gusto ko sumaya,possible suicidal post,I want to have fun,want fun
240,240,Sakit ng ulo ko parang ayaw ko na lumabas ng bahay hahahha,possible suicidal post,My head hurts like I don't want to leave the house hahaha,head hurt like not want leave house hahaha
241,241,Nakakaenjoy talaga makinig ng podcast,non-suicide,I really enjoy listening to podcasts,really enjoy listen podcasts
242,242,Taena ang init,non-suicide,The heat is hot,heat hot
243,243,Neck hurts,non-suicide,Neck hurts,neck hurt
244,244,It seems that I cant forget you,non-suicide,It seems that I cant forget you,seem cant forget
245,245,Putaena nagextend yung world hahahahaha panibagong ayos nanaman,non-suicide,Putaena the world has extended hahahahaha it's fine again,putaena world extend hahahahaha fine
246,246,Soon enough No more sana all ????,possible suicidal post,Soon enough No more sana all ????,soon enough no more sana all
247,247,Ang toxic ??,possible suicidal post,Ang toxic ??,ang toxic
248,248,Tila’y rosas na pula ??Meaning of life?,possible suicidal post,It seems to be a red rose ??Meaning of life?,seem red rise meaning life
249,249,Siguro pwede na ma deads,possible suicidal post,Maybe it can be dead,maybe dead
250,250,Happy new year everyone! ??,possible suicidal post,Happy new year everyone! ??,happy new year everyone
251,251,Di ako makapaniwala nakapag clutch ako ng 1v4 kanina ako ba talaga yon?,non-suicide,"I can't believe I was able to clutch 1v4 earlier, is that really me?",not believe able clutch earlier really
252,252,Nasanay nasanay sorry,non-suicide,Got used to sorry,got use sorry
253,253,good morning HAHSHAHQHA <333,non-suicide,good morning HAHSHAHQHA <333,good morning hahshahqha
254,254,yung chorus ng Down Bad ?? saying f has never been this satisfying HAHAHAHA ??,non-suicide,the chorus of Down Bad ?? saying f has never been this satisfying HAHAHAHA ??,chorus down bad say never satisfy hahahaha
255,255,kapround naman PRMSU ??,non-suicide,what about PRMSU??,what prmsu
256,256,"Mom, please lift me up ??",possible suicidal post,"Mom, please lift me up ??",mom please lift up
257,257,iintindihin nanaman mag-isa ??,possible suicidal post,will you understand on your own??,understand own
258,258,ansama kong nilalaaaang,possible suicidal post,I love it,love
259,259,yo. pain.,possible suicidal post,yo. pain.,yo pain
260,260,ang sakit pa rin.,possible suicidal post,the pain is still there.,pain still
261,261,"congratulations, self. proud ako sayo! <3",non-suicide,"congratulations, self. I'm proud of you! <3",congratulation self proud
262,262,kapag naswertehan naman talaga oo!,non-suicide,when really lucky yes!,really lucky yes
263,263,June pa daw uulan ??,non-suicide,It's still raining in June??,still rain june
264,264,How to raise a naughty & stubborn kid.,non-suicide,How to raise a naughty & stubborn kid.,how raise naughty stubborn kid
265,265,stuck talaga me the first time i heard of it. THE VIBES,non-suicide,stuck talaga me the first time i heard of it. THE VIBES,stuck talaga first time heard vibe
266,266,fvck it if i cant have us,possible suicidal post,fvck it if i cant have us,fvck cant u
267,267,fvck it if i cant have him,possible suicidal post,fvck it if i cant have him,fvck cant
268,268,He’s so tired ????,possible suicidal post,He’s so tired ????,tired
269,269,MAAAAAAAA! ?? hahahahahhahahq,possible suicidal post,MAAAAAAA! ?? hahahahahahahq,maaaaaaa hahahahahahahq
270,270,"i h8 the feeling when u explain to someone what they did to u that made u feel upset ended u up regretting telling them bcoz instead of apologizing, they find a way to make you feel bad about it lol u get me? :<",possible suicidal post,"i h8 the feeling when u explain to someone what they did to u that made u feel upset ended u up regretting telling them bcoz instead of apologizing, they find a way to make you feel bad about it lol u get me? :<",feeling explain someone what make feel upset end up regret tell bcoz instead apologize find way make feel bad lol get
271,271,kaya ba kasi 1k words each tour ??,non-suicide,can it be 1k words each tour??,word tour
272,272,perfect ang quiz 2 ni acclaaaaa! ????,non-suicide,acclaaaaa's quiz 2 is perfect! ????,acclaaaaa quiz perfect
273,273,nakalimutan ko na paano gumawa ng narrative reportttttt! ??,non-suicide,I forgot how to make a narrative reportttttt! ??,forget how make narrative reportttttt
274,274,sobrang iyakin ko na dahil sa Cant Buy me Love ??,non-suicide,I cried so much because of Cant Buy me Love??,cry much because cant buy love
275,275,yay perfect!,non-suicide,yay perfect!,yay perfect
276,276,"i’m strong, but i cry too.",possible suicidal post,"i’m strong, but i cry too.",strong cry
277,277,have you felt so lonely that you started crying? ,possible suicidal post,have you felt so lonely that you started crying?,felt lonely start cry
278,278,My expectations hurt me.,possible suicidal post,My expectations hurt me.,expectation hurt
279,279,have you felt so lonely that you started crying?,possible suicidal post,have you felt so lonely that you started crying?,felt lonely start cry
280,280,Meaning of life?,possible suicidal post,Meaning of life?,meaning life
281,281,mermek naman pala haha ??????,non-suicide,it's funny haha ​​??????,funny haha
282,282,"kahit bigyan nyo pa ako ng isang milyon, akin na",non-suicide,"even if you give me a million, it's mine",even give million mine
283,283,"ggraduate na ako, mukha pa rin akong highschool student ??",non-suicide,"I have graduated, I still look like a high school student??",graduate still look like high school student
284,284,Studying,non-suicide,Studying,study
285,285,bitter naman si baccla.,non-suicide,bitter naman si baccla.,bitter naman si baccla
286,286,"You tossed it in the trash, you did",possible suicidal post,"You tossed it in the trash, you did",toss trash
